CODIGO_LINHA;NOME_LINHA;NOME_ITINERARIO;ITINERARIO_PROVISORIO_A_PARTIR_DE;ITINERARIO_PROVISORIO_DATA_INICIO;ITINERARIO_PROVISORIO_DATA_FIM;CODIGO_PARADA;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE;CODIGO_SENTIDO;SENTIDO;ORDEM_TPR;ORDEM_PRT
1;Ponte dos Carvalhos / Prazeres (Barra de Jangada);Principal;;;;010075;Avenida Bernardo Vieira de Melo;Piedade;-8 11 4.29;-34 55 8.09;2;Ponto de Retorno para Terminal;0;3
1;Ponte dos Carvalhos / Prazeres (Barra de Jangada);Principal;;;;010080;Avenida Bernardo Vieira de Melo;Piedade;-8 10 18.82;-34 54 57.51;2;Ponto de Retorno para Terminal;0;1
18;Brasília Teimosa;Principal;;;;010001;Avenida Herculano Bandeira;Pina;-8 5  12.50;-34 53 14.07;2;Ponto de Retorno para Terminal;0;10
18;Brasília Teimosa;Principal;;;;010002;Avenida Herculano Bandeira;Pina;-8 5 20.59;-34 53 6.34;2;Ponto de Retorno para Terminal;0;11
18;Brasília Teimosa;Principal;;;;010111;Avenida Engenheiro Antônio de Góes;Pina;-8 5 16.29;-34 53 2.99;1;Terminal para Ponto de Retorno;12;0
18;Brasília Teimosa;Principal;;;;010113;Avenida Engenheiro Antônio de Góes;Pina;-8 5 9.44;-34 53 9.47;1;Terminal para Ponto de Retorno;13;0
18;Brasília Teimosa;Principal;;;;010115;Avenida Engenheiro Antônio de Góes;Pina;-8 5 4.62;-34 53 14.15;1;Terminal para Ponto de Retorno;14;0
18;Brasília Teimosa;Principal;;;;010139;Avenida Herculano Bandeira;Pina;-8 5 26.98;-34 52 59.98;2;Ponto de Retorno para Terminal;0;12
18;Brasília Teimosa;Principal;;;;010140;Rua Comendador Morais;Pina;-8 5 21.57;-34 52 53.51;2;Ponto de Retorno para Terminal;0;13
18;Brasília Teimosa;Principal;;;;010141;Rua Comendador Morais;Pina;-8 5 17.08;-34 52 55.51;2;Ponto de Retorno para Terminal;0;14
18;Brasília Teimosa;Principal;;;;010142;Rua Dagoberto Pires;Pina;-8 5 12.35;-34 52 50.89;2;Ponto de Retorno para Terminal;0;15
18;Brasília Teimosa;Principal;;;;010143;Rua Arabaiana;Pina;-8 5 5.97;-34 52 47.82;3;Dois Sentidos;5;17
18;Brasília Teimosa;Principal;;;;010144;Rua Arabaiana;Pina;-8 5 1.34;-34 52 49.37;3;Dois Sentidos;6;18
18;Brasília Teimosa;Principal;;;;010145;Rua Delfim;Brasília Teimosa;-8 4 56.69;-34 52 53.38;3;Dois Sentidos;7;19
18;Brasília Teimosa;Principal;;;;010146;Rua Delfim;Brasília Teimosa;-8 4 59.46;-34 52 57.69;3;Dois Sentidos;8;20
18;Brasília Teimosa;Principal;;;;010147;Rua Francisco Valpassos;Pina;-8 5 3.79;-34 52 59.90;3;Dois Sentidos;9;21
18;Brasília Teimosa;Principal;;;;010148;Rua Francisco Valpassos;Pina;-8 5 9.60;-34 52 58.52;3;Dois Sentidos;10;22
18;Brasília Teimosa;Principal;;;;010149;Rua Comendador Morais;Pina;-8 5 16.55;-34 52 56.25;1;Terminal para Ponto de Retorno;11;0
18;Brasília Teimosa;Principal;;;;010152;Avenida Brasília Formosa (Terminal);Brasília Teimosa;-8 4 49.03;-34 52 35.95;3;Dois Sentidos;1;25
18;Brasília Teimosa;Principal;;;;010153;Avenida Brasília Formosa (Terminal);Brasília Teimosa;-8 4 57.06;-34 52 38.25;1;Terminal para Ponto de Retorno;2;0
18;Brasília Teimosa;Principal;;;;010154;Avenida Brasília Formosa (Terminal);Brasília Teimosa;-8 5 1.13;-34 52 39.37;1;Terminal para Ponto de Retorno;3;0
18;Brasília Teimosa;Principal;;;;010155;Avenida Brasília Formosa (Terminal);Brasília Teimosa;-8 5 7.95;-34 52 42.17;1;Terminal para Ponto de Retorno;4;0
18;Brasília Teimosa;Principal;;;;180000;Terminal de Passageiros Santa Rita;São José;-8 4 6.07;-34 52 32.85;3;Dois Sentidos;18;1
18;Brasília Teimosa;Principal;;;;180048;Praça das Cinco Pontas;São José;-8 4 17.59;-34 52 54.02;2;Ponto de Retorno para Terminal;0;5
18;Brasília Teimosa;Principal;;;;180049;Avenida Engenheiro José Estelita;São José;-8 4 27.98;-34 53 3.58;2;Ponto de Retorno para Terminal;0;6
18;Brasília Teimosa;Principal;;;;180050;Avenida Engenheiro José Estelita;São José;-8 4 37.56;-34 53 27.65;2;Ponto de Retorno para Terminal;0;7
