"lat","lon","region"
"-23.6024509","-46.5993864","67"
"-23.6021587","-46.5991183","67"
"-23.6021271","-46.5990883","67"
"-23.5886869","-46.5978533","68"
"-23.5886404","-46.5978885","68"
"-23.5881634","-46.5979295","68"
"-23.5875676","-46.59596","68"
"-23.587553","-46.5961376","68"
"-23.5875466","-46.5962239","68"
"-23.5875356","-46.5965197","68"
"-23.587564","-46.596737","68"
"-23.5875893","-46.5968544","68"
"-23.5876291","-46.597009","68"
"-23.5876957","-46.5971688","68"
"-23.587804","-46.5973747","68"
"-23.5879174","-46.597532","68"
"-23.5880862","-46.5977065","68"
"-23.5882915","-46.5978564","68"
"-23.5884662","-46.5979353","68"
"-23.5886413","-46.5980048","68"
"-23.5887518","-46.5980353","68"
"-23.5889157","-46.5980526","68"
"-23.5890512","-46.5980629","68"
"-23.589439","-46.5980292","68"
"-23.5886869","-46.5978533","68"
"-23.5886441","-46.5978261","68"
"-23.5881683","-46.597849","68"
"-23.5877387","-46.5978996","68"
"-23.5876166","-46.597896","68"
"-23.5874981","-46.5978641","68"
"-23.5874098","-46.5977983","68"
"-23.5873638","-46.5977161","68"
"-23.5873325","-46.5975869","68"
"-23.5873534","-46.5974513","68"
"-23.587405","-46.5972428","68"
"-23.6252698","-46.614732","62"
"-23.6250077","-46.6143867","62"
"-23.6246019","-46.6139067","62"
"-23.6240341","-46.6133371","62"
"-23.6231205","-46.6125344","62"
"-23.6227639","-46.6123019","62"
"-23.629361","-46.6304088","62"
"-23.6292553","-46.6296185","62"
"-23.5784239","-46.6114007","68"
"-23.578531","-46.6114891","68"
"-23.6057617","-46.6263822","68"
"-23.6055471","-46.6262903","68"
"-23.6047356","-46.6259428","68"
"-23.6046644","-46.6259123","68"
"-23.6045273","-46.6258372","68"
"-23.6044647","-46.6258031","68"
"-23.605701","-46.6267233","68"
"-23.6058569","-46.6267854","68"
"-23.6059476","-46.6268255","68"
"-23.6064035","-46.6270269","68"
"-23.6081255","-46.6278158","68"
"-23.6088889","-46.6281562","68"
"-23.6091813","-46.6282564","68"
"-23.6095158","-46.6283285","68"
"-23.609838","-46.6283779","68"
"-23.6100598","-46.6284009","68"
"-23.6103238","-46.6284037","68"
"-23.6107028","-46.6283744","68"
"-23.6110436","-46.6283123","68"
"-23.6606493","-46.6333215","59"
"-23.6603358","-46.6333509","59"
"-23.6593161","-46.6334465","59"
"-23.6571661","-46.6336885","59"
"-23.6560754","-46.6338008","59"
"-23.655352","-46.6338884","59"
"-23.626622","-46.6295695","62"
"-23.6268466","-46.6296689","62"
"-23.6271076","-46.6298227","62"
"-23.6274107","-46.6300253","62"
"-23.6276459","-46.6302014","62"
"-23.6278503","-46.6303776","62"
"-23.628025","-46.6305841","62"
"-23.6281719","-46.6307687","62"
"-23.6283485","-46.6310055","62"
"-23.6285468","-46.6312777","62"
