CODIGO_LINHA;NOME_LINHA;NOME_ITINERARIO;CODIGO_PARADA;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE;ORDEM_TPR;ORDEM_PRT
645;Av. Norte (Macaxeira);Principal;110000;Terminal Integrado Macaxeira;Dois Irmãos;-8 0 30.52;-34 56 18.28;1;35
645;Av. Norte (Macaxeira);Principal;110001;Avenida Norte;Macaxeira;-8 0 37.04;-34 56 8.87;2;0
645;Av. Norte (Macaxeira);Principal;110002;Avenida Norte;Macaxeira;-8 0 43.32;-34 56 1.69;3;0
645;Av. Norte (Macaxeira);Principal;110003;Avenida Norte;Macaxeira;-8 0 49.28;-34 55 54.16;4;0
645;Av. Norte (Macaxeira);Principal;110004;Avenida Norte;Macaxeira;-8   1 1.05;-34  55 48.13;5;0
645;Av. Norte (Macaxeira);Principal;110005;Avenida Norte;Macaxeira;-8 1 7.72;-34 55 41.18;6;0
645;Av. Norte (Macaxeira);Principal;110006;Avenida Norte;Macaxeira;-8 1 14.55;-34 55 32.60;7;0
645;Av. Norte (Macaxeira);Principal;110007;Avenida Norte;Casa Amarela;-8 1 14.88;-34 55 23.17;8;0
645;Av. Norte (Macaxeira);Principal;110008;Avenida Norte;Casa Amarela;-8 1 15.92;-34 55 13.32;9;0
645;Av. Norte (Macaxeira);Principal;110009;Avenida Norte;Casa Amarela;-8 1 16.68;-34 55 4.79;10;0
645;Av. Norte (Macaxeira);Principal;110010;Avenida Norte;Casa Amarela;-8 1 20.87;-34 54 54.01;11;0
645;Av. Norte (Macaxeira);Principal;110011;Avenida Norte;Casa Amarela;-8 1 23.90;-34 54 49.12;12;0
645;Av. Norte (Macaxeira);Principal;110012;Avenida Norte;Casa Amarela;-8 1 28.57;-34 54 37.45;13;0
645;Av. Norte (Macaxeira);Principal;110013;Avenida Norte;Casa Amarela;-8 1 32.07;-34 54 24.76;14;0
645;Av. Norte (Macaxeira);Principal;110014;Avenida Norte;Tamarineira;-8 1 38.13;-34 54 14.77;15;0
645;Av. Norte (Macaxeira);Principal;110015;Avenida Norte;Tamarineira;-8 1 45.39;-34 54 4.16;16;0
645;Av. Norte (Macaxeira);Principal;110016;Avenida Norte;Tamarineira;-8 1 50.21;-34 53 57.18;17;0
645;Av. Norte (Macaxeira);Principal;110017;Avenida Norte;Rosarinho;-8 1 56.91;-34 53 50.18;18;0
645;Av. Norte (Macaxeira);Principal;110018;Avenida Norte;Encruzilhada;-8 2 5.58;-34 53 44.89;19;0
645;Av. Norte (Macaxeira);Principal;110019;Avenida Norte;Encruzilhada;-8 2 17.29;-34 53 35.10;20;0
645;Av. Norte (Macaxeira);Principal;110020;Avenida Norte;Espinheiro;-8 2 21.21;-34 53 24.62;21;0
645;Av. Norte (Macaxeira);Principal;110021;Avenida Norte;Espinheiro;-8 2 23.12;-34 53 16.70;22;0
645;Av. Norte (Macaxeira);Principal;110022;Avenida Norte;Espinheiro;-8 2 28.00;-34 53 10.42;23;0
645;Av. Norte (Macaxeira);Principal;110023;Avenida Norte;Santo Amaro;-8 2 38.98;-34 52 55.46;24;0
645;Av. Norte (Macaxeira);Principal;110024;Avenida Norte;Santo Amaro;-8 2 42.77;-34 52 48.38;25;0
645;Av. Norte (Macaxeira);Principal;110025;Avenida Norte;Santo Amaro;-8  2 49.38;-34  52 40.00;26;0
645;Av. Norte (Macaxeira);Principal;180100;Avenida Cruz Cabugá;Santo Amaro;-8.050184;-34.879016;27;0
645;Av. Norte (Macaxeira);Principal;180101;Avenida Cruz Cabugá;Santo Amaro;-8.051677;-34.880030;28;0
645;Av. Norte (Macaxeira);Principal;180290;Rua do Hospício;Santo Amaro;-8.056653;-34.882938;29;0
645;Av. Norte (Macaxeira);Principal;180291;Rua do Hospício;Boa Vista;-8.059736;-34.883759;30;0
645;Av. Norte (Macaxeira);Principal;180292;Avenida Conde da Boa Vista;Boa Vista;-8.061634;-34.882560;31;0
645;Av. Norte (Macaxeira);Principal;180295;Avenida Dantas Barreto;Santo Antônio;-8.064227;-34.878595;32;1
645;Av. Norte (Macaxeira);Principal;180297;Avenida Nossa Senhora do Carmo;Santo Antônio;-8.066082;-34.878477;0;2
645;Av. Norte (Macaxeira);Principal;180298;Avenida Martins de Barros;Santo Antônio;-8.064378;-34.876292;0;3
645;Av. Norte (Macaxeira);Principal;180299;Rua Siqueira Campos;Santo Antônio;-8.062845;-34.876799;0;4
645;Av. Norte (Macaxeira);Principal;180300;Avenida Guararapes;Santo Antônio;-8.062782;-34.880096;0;5
645;Av. Norte (Macaxeira);Principal;180074;Rua do Hospício;Boa Vista;-8 3 31.20;-34 52 59.76;0;6
645;Av. Norte (Macaxeira);Principal;180102;Rua do Hospício;Santo Amaro;-8.056509;-34.882611;0;7
645;Av. Norte (Macaxeira);Principal;180103;Rua do Hospício;Santo Amaro;-8 3 15.39;-34 52 54.04;0;8
645;Av. Norte (Macaxeira);Principal;180104;Avenida Cruz Cabugá;Santo Amaro;-8 3 5.87;-34 52 47.22;0;9
645;Av. Norte (Macaxeira);Principal;180105;Rua Vinte e Quatro de Agosto;Santo Amaro;-8 2 56.46;-34 52 37.35;0;10
645;Av. Norte (Macaxeira);Principal;110028;Avenida Norte;Santo Amaro;-8  2 46.68;-34 52 42.41;0;11
645;Av. Norte (Macaxeira);Principal;110029;Avenida Norte;Santo Amaro;-8  2 43.06;-34 52 46.85;0;12
645;Av. Norte (Macaxeira);Principal;110030;Avenida Norte;Santo Amaro;-8   2 38.12;-34 52 55.53;0;13
645;Av. Norte (Macaxeira);Principal;110031;Avenida Norte;Encruzilhada;-8 2 24.05;-34 53 13.82;0;14
645;Av. Norte (Macaxeira);Principal;110032;Avenida Norte;Encruzilhada;-8.039222;-34.888823;0;15
645;Av. Norte (Macaxeira);Principal;110034;Avenida Norte;Encruzilhada;-8 2 16.30;-34 53 35.48;0;16
645;Av. Norte (Macaxeira);Principal;110035;Avenida Norte;Rosarinho;-8 2 4.63;-34 53 44.76;0;17
645;Av. Norte (Macaxeira);Principal;110036;Avenida Norte;Rosarinho;-8  1 58.65;-34 53 48.09;0;18
645;Av. Norte (Macaxeira);Principal;110037;Avenida Norte;Tamarineira;-8  1 49.28;-34 53 57.31;0;19
645;Av. Norte (Macaxeira);Principal;110038;Avenida Norte;Tamarineira;-8 1 42.16;-34 54 7.70;0;20
645;Av. Norte (Macaxeira);Principal;110039;Avenida Norte;Mangabeira;-8 1 37.92;-34 54 13.95;0;21
645;Av. Norte (Macaxeira);Principal;110040;Avenida Norte;Tamarineira;-8 1 32.53;-34 54 22.09;0;22
