"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"1122020_circular_0_0","04:50:00","04:50:00","1085023","0","22.0"
"1122020_circular_0_0","04:50:59","04:50:59","1121033","1","272.0"
"1122020_circular_0_0","04:52:25","04:52:25","1022055","2","628.0"
"1122020_circular_0_0","04:55:15","04:55:15","5692735241322496","3","1452.0"
"1122020_circular_0_0","04:58:16","04:58:16","5106065592811520","4","2285.0"
"1122020_circular_0_0","05:02:46","05:02:46","1068034","5","3527.0"
"1122020_circular_0_0","05:04:55","05:04:55","1124028","6","4141.0"
"1122020_circular_0_0","05:05:56","05:05:56","997142","7","4399.0"
"1122020_circular_0_0","05:07:19","05:07:19","1125026","8","4777.0"
"1122020_circular_0_0","05:08:32","05:08:32","1174022","9","5119.0"
"1122020_circular_0_0","05:09:47","05:09:47","1124029","10","5460.0"
"1122020_circular_0_0","05:11:46","05:11:46","881041","11","6005.0"
"1122020_circular_0_0","05:13:39","05:13:39","890149","12","6528.0"
"1122020_circular_0_0","05:15:13","05:15:13","1174023","13","6962.0"
"1122020_circular_0_0","05:16:50","05:16:50","997143","14","7418.0"
"1122020_circular_0_0","05:17:54","05:17:54","1096064","15","7703.0"
"1122020_circular_0_0","05:18:34","05:18:34","1040116","16","7917.0"
"1122020_circular_0_0","05:19:32","05:19:32","1172018","17","8151.0"
"1122020_circular_0_0","05:20:29","05:20:29","1123047","18","8413.0"
"1122020_circular_0_0","05:21:38","05:21:38","1068035","19","8732.0"
"1122020_circular_0_0","05:22:48","05:22:48","1125028","20","9056.0"
"1122020_circular_0_0","05:23:59","05:23:59","1174024","21","9416.0"
"1122020_circular_0_0","05:25:05","05:25:05","33876146","22","9685.0"
"1122020_circular_0_0","05:27:44","05:27:44","1155038","23","10414.0"
"1122020_circular_0_0","05:28:35","05:28:35","1154031","24","10651.0"
"1122020_circular_0_0","05:31:04","05:31:04","1686002","26","11337.0"
"1122020_circular_0_0","05:30:11","05:30:11","1129031","25","11092.0"
"1122020_circular_0_0","05:31:16","05:31:16","31473125","27","11391.0"
"1122020_circular_0_0","05:32:31","05:32:31","33958108","28","11736.0"
"1122020_circular_0_0","05:33:39","05:33:39","1701001","29","12050.0"
"1122020_circular_0_0","05:38:26","05:38:26","1638009","30","13370.0"
"1122020_circular_0_0","05:41:34","05:41:34","1007044","31","14234.0"
"1122020_circular_0_0","05:45:06","05:45:06","943143","32","15208.0"
"1122020_circular_0_0","05:50:12","05:50:12","33794138","33","16617.0"
"1122020_circular_0_0","05:51:41","05:51:41","1654001","34","17023.0"
"1122020_circular_0_0","05:53:44","05:53:44","33974154","35","17591.0"
"1122020_circular_0_0","05:56:57","05:56:57","992059","36","18477.0"
"1122020_circular_0_0","05:59:19","05:59:19","1133033","37","19131.0"
"1122020_circular_0_0","06:01:42","06:01:42","1642006","39","19791.0"
"1122020_circular_0_0","06:00:15","06:00:15","5651248407379968","38","19415.0"
"1122020_circular_0_0","06:02:00","06:02:00","1675004","40","19874.0"
"1122020_circular_0_0","06:02:53","06:02:53","899047","41","20114.0"
"1122020_circular_0_0","06:04:00","06:04:00","1152070","42","20425.0"
