"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"43006091_volta_0_0","06:00:00","06:00:00","597021","0","28.0"
"43006091_volta_0_0","06:00:38","06:00:38","105576080","1","487.0"
"43006091_volta_0_0","06:00:44","06:00:44","5927190276079616","2","541.0"
"43006091_volta_0_0","06:01:32","06:01:32","563124","3","1170.0"
"43006091_volta_0_0","06:02:13","06:02:13","1237002","4","1663.0"
"43006091_volta_0_0","06:02:40","06:02:40","1036017","5","2004.0"
"43006091_volta_0_0","06:03:00","06:03:00","1032050","7","2244.0"
"43006091_volta_0_0","06:03:24","06:03:24","1192018","8","2554.0"
"43006091_volta_0_0","06:04:36","06:04:36","1106038","9","3453.0"
"43006091_volta_0_0","06:05:33","06:05:33","1148033","11","4168.0"
"43006091_volta_0_0","06:02:50","06:02:50","1117056","6","2138.0"
"43006091_volta_0_0","06:06:58","06:06:58","926042","12","5227.0"
"43006091_volta_0_0","06:05:07","06:05:07","1044043","10","3825.0"
"43006091_volta_0_0","06:10:17","06:10:17","931036","14","7719.0"
"43006091_volta_0_0","06:08:03","06:08:03","1047061","13","6058.0"
"43006091_volta_0_0","06:12:18","06:12:18","1920016","15","9233.0"
"43006091_volta_0_0","06:13:07","06:13:07","2059003","16","9874.0"
"43006091_volta_0_0","06:13:27","06:13:27","1162045","17","10103.0"
"43006091_volta_0_0","06:14:26","06:14:26","890102","18","10856.0"
"43006091_volta_0_0","06:15:52","06:15:52","1140026","19","11881.0"
"43006091_volta_0_0","06:17:00","06:17:00","875085","20","12752.0"
"43006091_volta_0_0","06:21:23","06:21:23","1085015","21","16051.0"
"43006091_volta_0_0","06:22:45","06:22:45","945138","22","17059.0"
"43006091_volta_0_0","06:25:01","06:25:01","893026","23","18795.0"
"43006091_volta_0_0","06:26:35","06:26:35","1007023","24","19917.0"
"43006091_volta_0_0","06:29:52","06:29:52","1141046","25","22426.0"
"43006091_volta_0_0","06:32:27","06:32:27","1029076","26","24338.0"
"43006091_volta_0_0","06:35:29","06:35:29","926043","27","26615.0"
"43006091_volta_0_0","06:36:58","06:36:58","969057","28","27747.0"
"43006091_volta_0_0","06:37:28","06:37:28","1033050","29","28125.0"
"43006091_volta_0_0","06:38:03","06:38:03","1036019","30","28502.0"
"43006091_volta_0_0","06:38:47","06:38:47","997126","31","29062.0"
"43006091_volta_0_0","06:38:56","06:38:56","1094027","32","29178.0"
"43006091_volta_0_0","06:41:50","06:41:50","57016045","34","30838.0"
"43006091_volta_0_0","06:41:59","06:41:59","57026057","35","30972.0"
"43006091_volta_0_0","06:40:52","06:40:52","1164020","33","30649.0"
"43006091_volta_0_0","06:42:23","06:42:23","90676497","36","31371.0"
"43006091_volta_0_0","06:42:52","06:42:52","97156225","37","31798.0"
"43006091_volta_0_0","06:44:11","06:44:11","1126054","39","32747.0"
"43006091_volta_0_0","06:43:58","06:43:58","992055","38","32592.0"
"43006091_volta_0_0","06:45:48","06:45:48","87066247","40","33954.0"
"43006091_volta_0_0","06:46:16","06:46:16","893027","41","34333.0"
"43006091_volta_0_0","06:47:10","06:47:10","1019076","42","34995.0"
"43006091_volta_0_0","06:47:19","06:47:19","1165023","43","35108.0"
"43006091_volta_0_0","06:47:53","06:47:53","1142044","44","35516.0"
"43006091_volta_0_0","06:48:07","06:48:07","57006064","45","35710.0"
"43006091_volta_0_0","06:48:22","06:48:22","101736306","46","35888.0"
"43006091_volta_0_0","06:48:38","06:48:38","41716110","47","36077.0"
"43006091_volta_0_0","06:48:51","06:48:51","54956076","48","36240.0"
"43006091_volta_0_0","06:49:33","06:49:33","56976058","49","36774.0"
"43006091_volta_0_0","06:49:47","06:49:47","56996051","50","36944.0"
"43006091_volta_0_0","06:55:02","06:55:02","1127026","51","40914.0"
