"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"4730897375690752_anti-horário_0_0","05:00:00","05:00:00","5098921767469056","0","18.0"
"4730897375690752_anti-horário_0_0","05:00:47","05:00:47","5293360523771904","1","217.0"
"4730897375690752_anti-horário_0_0","05:03:04","05:03:04","4545995160420352","2","834.0"
"4730897375690752_anti-horário_0_0","05:04:26","05:04:26","6129511149076480","3","1205.0"
"4730897375690752_anti-horário_0_0","05:09:31","05:09:31","4739250368020480","4","2586.0"
"4730897375690752_anti-horário_0_0","05:11:34","05:11:34","5348897537916928","5","3142.0"
"4730897375690752_anti-horário_0_0","05:15:01","05:15:01","6532074138763264","6","4081.0"
"4730897375690752_anti-horário_0_0","05:17:19","05:17:19","4707489000980480","7","4706.0"
"4730897375690752_anti-horário_0_0","05:19:51","05:19:51","6462078251433984","8","5392.0"
"4730897375690752_anti-horário_0_0","05:20:10","05:20:10","6644013133201408","9","5476.0"
"4730897375690752_anti-horário_0_0","05:22:14","05:22:14","5054248369782784","10","6037.0"
"4730897375690752_anti-horário_0_0","05:30:05","05:30:05","575159","11","8169.0"
"4730897375690752_anti-horário_0_0","05:34:23","05:34:23","6390792330412032","12","9338.0"
"4730897375690752_anti-horário_0_0","05:40:30","05:40:30","5726391692689408","13","10998.0"
"4730897375690752_anti-horário_0_0","05:49:58","05:49:58","4606557269524480","14","13571.0"
"4730897375690752_anti-horário_0_0","05:58:06","05:58:06","6387637878259712","15","15776.0"
"4730897375690752_anti-horário_0_0","06:09:03","06:09:03","2226008","16","18749.0"
"4730897375690752_anti-horário_0_0","06:14:31","06:14:31","5866370498560000","17","20235.0"
"4730897375690752_anti-horário_0_0","06:17:06","06:17:06","6595569794416640","18","20935.0"
"4730897375690752_anti-horário_0_0","06:21:59","06:21:59","1904005","19","22262.0"
"4730897375690752_anti-horário_0_0","06:29:02","06:29:02","5481392732372992","20","24177.0"
"4730897375690752_anti-horário_0_0","06:33:45","06:33:45","567505","21","25455.0"
"4730897375690752_anti-horário_0_0","06:35:42","06:35:42","5566561195655168","22","25987.0"
"4730897375690752_anti-horário_0_0","06:37:55","06:37:55","4702486790144000","23","26590.0"
"4730897375690752_anti-horário_0_0","06:40:02","06:40:02","5833388907823104","24","27164.0"
"4730897375690752_anti-horário_0_0","06:41:12","06:41:12","4603319552049152","25","27478.0"
"4730897375690752_anti-horário_0_0","06:44:16","06:44:16","5613467607236608","26","28312.0"
"4730897375690752_anti-horário_0_0","06:46:39","06:46:39","4983417446858752","27","28962.0"
"4730897375690752_anti-horário_0_0","06:49:22","06:49:22","4980262994706432","28","29699.0"
"4730897375690752_anti-horário_0_0","06:51:40","06:51:40","6571791311962112","29","30321.0"
"4730897375690752_anti-horário_0_0","06:54:25","06:54:25","5293360523771904","30","31068.0"
"4730897375690752_anti-horário_0_0","06:56:27","06:56:27","5421698223439872","31","31619.0"
"4730897375690752_anti-horário_0_0","07:00:00","07:00:00","5098921767469056","32","32582.0"
