"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"4730897375690752_horário_0_0","06:17:00","06:17:00","5098921767469056","0","18.0"
"4730897375690752_horário_0_0","06:19:05","06:19:05","5824687924838400","1","569.0"
"4730897375690752_horário_0_0","06:20:08","06:20:08","37088138","2","859.0"
"4730897375690752_horário_0_0","06:22:12","06:22:12","5327108581621760","3","1423.0"
"4730897375690752_horário_0_0","06:23:29","06:23:29","5731029921824768","4","1773.0"
"4730897375690752_horário_0_0","06:27:09","06:27:09","6266123153571840","5","2772.0"
"4730897375690752_horário_0_0","06:28:48","06:28:48","5348897537916928","6","3215.0"
"4730897375690752_horário_0_0","06:31:27","06:31:27","5661871720890368","7","3943.0"
"4730897375690752_horário_0_0","06:34:31","06:34:31","4625926414401536","8","4786.0"
"4730897375690752_horário_0_0","06:36:28","06:36:28","6573972081606656","9","5313.0"
"4730897375690752_horário_0_0","06:37:21","06:37:21","6032619840995328","10","5594.0"
"4730897375690752_horário_0_0","06:40:30","06:40:30","5655212072108032","11","6419.0"
"4730897375690752_horário_0_0","06:43:47","06:43:47","5524063165349888","12","7315.0"
"4730897375690752_horário_0_0","06:47:07","06:47:07","5603577958498304","13","8225.0"
"4730897375690752_horário_0_0","06:54:55","06:54:55","4918442778951680","14","10349.0"
"4730897375690752_horário_0_0","07:00:36","07:00:36","5856310477193216","15","11905.0"
"4730897375690752_horário_0_0","07:15:43","07:15:43","4785947584495616","16","16030.0"
"4730897375690752_horário_0_0","07:19:23","07:19:23","5406174231920640","17","17029.0"
"4730897375690752_horário_0_0","07:23:38","07:23:38","6537076349599744","18","18193.0"
"4730897375690752_horário_0_0","07:33:35","07:33:35","5336178344591360","19","20906.0"
"4730897375690752_horário_0_0","07:40:51","07:40:51","5518113226358784","20","22891.0"
"4730897375690752_horário_0_0","07:46:24","07:46:24","4772773393072128","21","24404.0"
"4730897375690752_horário_0_0","07:51:27","07:51:27","5566561195655168","22","25786.0"
"4730897375690752_horário_0_0","07:53:48","07:53:48","5250021837504512","23","26424.0"
"4730897375690752_horário_0_0","07:56:17","07:56:17","5264892423569408","24","27102.0"
"4730897375690752_horário_0_0","07:57:01","07:57:01","4603319552049152","25","27302.0"
"4730897375690752_horário_0_0","08:00:09","08:00:09","6647250850676736","26","28157.0"
"4730897375690752_horário_0_0","08:02:39","08:02:39","5261737971417088","27","28841.0"
"4730897375690752_horário_0_0","08:05:09","08:05:09","4980262994706432","28","29522.0"
"4730897375690752_horário_0_0","08:06:57","08:06:57","6453008488464384","29","30015.0"
"4730897375690752_horário_0_0","08:11:18","08:11:18","5168079968403456","30","31201.0"
"4730897375690752_horário_0_0","08:12:23","08:12:23","37088138","31","31497.0"
"4730897375690752_horário_0_0","08:14:20","08:14:20","4740470591717376","32","32032.0"
"4730897375690752_horário_0_0","08:16:29","08:16:29","5098921767469056","33","32603.0"
