"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"5824479193464832_ida_0_0","05:00:00","05:00:00","4668375331766272","0","14.0"
"5824479193464832_ida_0_0","05:00:53","05:00:53","5904451484516352","1","477.0"
"5824479193464832_ida_0_0","05:02:37","05:02:37","5000678025199616","2","1398.0"
"5824479193464832_ida_0_0","05:04:01","05:04:01","6221686224715776","3","2144.0"
"5824479193464832_ida_0_0","05:04:49","05:04:49","5377669316476928","4","2575.0"
"5824479193464832_ida_0_0","05:08:38","05:08:38","6528166635241472","5","4611.0"
"5824479193464832_ida_0_0","05:12:54","05:12:54","5957133419151360","6","6889.0"
"5824479193464832_ida_0_0","05:14:12","05:14:12","4742820939431936","7","7578.0"
"5824479193464832_ida_0_0","05:15:12","05:15:12","5129012184875008","8","8117.0"
"5824479193464832_ida_0_0","05:16:57","05:16:57","5910754483240960","9","9049.0"
"5824479193464832_ida_0_0","05:18:37","05:18:37","6584852150484992","10","9936.0"
"5824479193464832_ida_0_0","05:23:48","05:23:48","5908613173608448","11","12697.0"
"5824479193464832_ida_0_0","05:32:21","05:32:21","5172031248400384","12","17264.0"
"5824479193464832_ida_0_0","05:34:15","05:34:15","6565208312250368","13","18276.0"
"5824479193464832_ida_0_0","05:34:46","05:34:46","5860048770433024","14","18608.0"
"5824479193464832_ida_0_0","05:37:07","05:37:07","5368568012341248","15","19807.0"
"5824479193464832_ida_0_0","05:51:28","05:51:28","4698579286622208","16","27460.0"
"5824479193464832_ida_0_0","06:02:18","06:02:18","4755264801865728","17","33239.0"
"5824479193464832_ida_0_0","06:05:18","06:05:18","4770037207662592","18","34834.0"
"5824479193464832_ida_0_0","06:10:11","06:10:11","5940267619450880","19","37445.0"
"5824479193464832_ida_0_0","06:14:06","06:14:06","4898762612015104","20","39526.0"
"5824479193464832_ida_0_0","06:19:57","06:19:57","5888121347768320","21","42652.0"
"5824479193464832_ida_0_0","06:21:28","06:21:28","6206101264793600","22","43461.0"
"5824479193464832_ida_0_0","06:22:38","06:22:38","5754043668627456","23","44081.0"
"5824479193464832_ida_0_0","06:24:19","06:24:19","5360576252608512","24","44981.0"
"5824479193464832_ida_0_0","06:24:59","06:24:59","4961912322523136","25","45334.0"
