"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"553021_volta_0_0","05:00:00","05:00:00","560023","0","28.0"
"553021_volta_0_0","05:02:28","05:02:28","637092","1","1838.0"
"553021_volta_0_0","05:03:44","05:03:44","538489","2","2784.0"
"553021_volta_0_0","05:04:42","05:04:42","546546","3","3493.0"
"553021_volta_0_0","05:05:21","05:05:21","568199","4","3980.0"
"553021_volta_0_0","05:06:09","05:06:09","540539","5","4570.0"
"553021_volta_0_0","05:07:49","05:07:49","539513","6","5815.0"
"553021_volta_0_0","05:08:39","05:08:39","551547","7","6426.0"
"553021_volta_0_0","05:09:55","05:09:55","588111","8","7372.0"
"553021_volta_0_0","05:10:50","05:10:50","594079","9","8057.0"
"553021_volta_0_0","05:11:07","05:11:07","540540","10","8269.0"
"553021_volta_0_0","05:11:56","05:11:56","594080","11","8870.0"
"553021_volta_0_0","05:12:48","05:12:48","567184","12","9518.0"
"553021_volta_0_0","05:14:08","05:14:08","551548","13","10500.0"
"553021_volta_0_0","05:14:55","05:14:55","550518","14","11084.0"
"553021_volta_0_0","05:15:52","05:15:52","540541","15","11797.0"
"553021_volta_0_0","05:16:27","05:16:27","594081","16","12229.0"
"553021_volta_0_0","05:19:17","05:19:17","598056","17","14335.0"
"553021_volta_0_0","05:22:11","05:22:11","568200","18","16480.0"
"553021_volta_0_0","05:22:43","05:22:43","540542","19","16889.0"
"553021_volta_0_0","05:24:21","05:24:21","588112","20","18101.0"
"553021_volta_0_0","05:26:13","05:26:13","551549","21","19487.0"
"553021_volta_0_0","05:26:42","05:26:42","546547","22","19838.0"
"553021_volta_0_0","05:27:26","05:27:26","568201","23","20387.0"
"553021_volta_0_0","05:28:39","05:28:39","540543","24","21295.0"
"553021_volta_0_0","05:29:47","05:29:47","542497","25","22127.0"
"553021_volta_0_0","05:31:02","05:31:02","539514","26","23063.0"
"553021_volta_0_0","05:32:47","05:32:47","541519","27","24363.0"
"553021_volta_0_0","05:34:46","05:34:46","551550","28","25836.0"
"553021_volta_0_0","05:35:50","05:35:50","538490","29","26629.0"
"553021_volta_0_0","05:36:28","05:36:28","550519","30","27107.0"
"553021_volta_0_0","05:37:46","05:37:46","593018","31","28067.0"
"553021_volta_0_0","05:38:11","05:38:11","594082","32","28352.0"
"553021_volta_0_0","05:38:52","05:38:52","540544","33","28884.0"
"553021_volta_0_0","05:39:26","05:39:26","588113","34","29303.0"
"553021_volta_0_0","05:39:58","05:39:58","613001","35","29690.0"
