"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"6122901376598016_anti-horário_0_0","05:00:00","05:00:00","552224","0","21.0"
"6122901376598016_anti-horário_0_0","05:03:46","05:03:46","5690448638115840","1","1030.0"
"6122901376598016_anti-horário_0_0","05:14:27","05:14:27","6022743928602624","2","3945.0"
"6122901376598016_anti-horário_0_0","05:17:23","05:17:23","6402737204887552","3","4748.0"
"6122901376598016_anti-horário_0_0","05:20:37","05:20:37","4898635245158400","4","5633.0"
"6122901376598016_anti-horário_0_0","05:21:35","05:21:35","4682826409574400","5","5892.0"
"6122901376598016_anti-horário_0_0","05:22:04","05:22:04","5803921422417920","6","6029.0"
"6122901376598016_anti-horário_0_0","05:24:00","05:24:00","4670049653620736","7","6554.0"
"6122901376598016_anti-horário_0_0","05:26:38","05:26:38","575159","8","7274.0"
"6122901376598016_anti-horário_0_0","05:34:28","05:34:28","2008014","9","9411.0"
"6122901376598016_anti-horário_0_0","05:40:31","05:40:31","6466555150860288","10","11067.0"
"6122901376598016_anti-horário_0_0","05:45:55","05:45:55","6700735407325184","11","12541.0"
"6122901376598016_anti-horário_0_0","05:54:46","05:54:46","4827470137131008","12","14952.0"
"6122901376598016_anti-horário_0_0","06:05:58","06:05:58","6677813837955072","13","18014.0"
"6122901376598016_anti-horário_0_0","06:08:39","06:08:39","6743553228144640","14","18748.0"
"6122901376598016_anti-horário_0_0","06:13:15","06:13:15","4744057040404480","15","19998.0"
"6122901376598016_anti-horário_0_0","06:20:01","06:20:01","740077","16","21851.0"
"6122901376598016_anti-horário_0_0","06:27:03","06:27:03","695013","17","23772.0"
"6122901376598016_anti-horário_0_0","06:34:56","06:34:56","5742603046748160","18","25923.0"
"6122901376598016_anti-horário_0_0","06:37:46","06:37:46","630069","19","26698.0"
"6122901376598016_anti-horário_0_0","06:40:57","06:40:57","5198626111356928","20","27562.0"
"6122901376598016_anti-horário_0_0","06:43:12","06:43:12","637198","21","28181.0"
"6122901376598016_anti-horário_0_0","06:46:19","06:46:19","694019","22","29032.0"
"6122901376598016_anti-horário_0_0","06:48:32","06:48:32","6298678263283712","23","29636.0"
"6122901376598016_anti-horário_0_0","06:50:14","06:50:14","5098410163044352","24","30101.0"
"6122901376598016_anti-horário_0_0","06:58:37","06:58:37","6434717363601408","25","32390.0"
"6122901376598016_anti-horário_0_0","07:04:57","07:04:57","552224","26","34098.0"
