"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"6156037729288192_circular_0_0","03:50:00","03:50:00","5675571596492800","0","15.0"
"6156037729288192_circular_0_0","03:50:30","03:50:30","5248454815645696","1","193.0"
"6156037729288192_circular_0_0","03:51:39","03:51:39","5855388992274432","2","515.0"
"6156037729288192_circular_0_0","03:53:02","03:53:02","5165004238618624","3","960.0"
"6156037729288192_circular_0_0","03:54:19","03:54:19","5797427703971840","4","1343.0"
"6156037729288192_circular_0_0","03:55:11","03:55:11","5180875753390080","5","1612.0"
"6156037729288192_circular_0_0","03:56:23","03:56:23","5808096167854080","6","1983.0"
"6156037729288192_circular_0_0","03:57:29","03:57:29","6479667186368512","7","2326.0"
"6156037729288192_circular_0_0","03:58:05","03:58:05","6602614114877440","8","2511.0"
"6156037729288192_circular_0_0","03:58:22","03:58:22","5600696290770944","9","2597.0"
"6156037729288192_circular_0_0","03:58:57","03:58:57","6419298971549696","10","2778.0"
"6156037729288192_circular_0_0","03:59:55","03:59:55","5365558172712960","11","3081.0"
"6156037729288192_circular_0_0","04:00:40","04:00:40","5924826668072960","12","3312.0"
"6156037729288192_circular_0_0","04:01:21","04:01:21","5794150811697152","13","3524.0"
"6156037729288192_circular_0_0","04:02:03","04:02:03","6577714176196608","14","3744.0"
"6156037729288192_circular_0_0","04:03:09","04:03:09","556009","15","4084.0"
"6156037729288192_circular_0_0","04:03:55","04:03:55","5850902462726144","16","4321.0"
"6156037729288192_circular_0_0","04:05:08","04:05:08","6219729457381376","17","4700.0"
"6156037729288192_circular_0_0","04:06:31","04:06:31","4530010671546368","18","5129.0"
"6156037729288192_circular_0_0","04:06:51","04:06:51","4860952799870976","19","5180.0"
"6156037729288192_circular_0_0","04:07:01","04:07:01","5093524876296192","20","5282.0"
"6156037729288192_circular_0_0","04:07:34","04:07:34","5885729714995200","21","5451.0"
"6156037729288192_circular_0_0","04:08:03","04:08:03","6290904145461248","22","5602.0"
"6156037729288192_circular_0_0","04:08:40","04:08:40","5234477750550528","23","5793.0"
"6156037729288192_circular_0_0","04:09:10","04:09:10","6306775660232704","24","5950.0"
"6156037729288192_circular_0_0","04:09:54","04:09:54","5245146214432768","25","6175.0"
"6156037729288192_circular_0_0","04:10:16","04:10:16","4650079837749248","26","6292.0"
"6156037729288192_circular_0_0","04:10:32","04:10:32","4773026766258176","27","6375.0"
"6156037729288192_circular_0_0","04:10:59","04:10:59","6726596197613568","28","6513.0"
"6156037729288192_circular_0_0","04:11:54","04:11:54","5011924087996416","29","6799.0"
"6156037729288192_circular_0_0","04:12:16","04:12:16","6491458079555584","30","6913.0"
"6156037729288192_circular_0_0","04:12:34","04:12:34","5361876714651648","31","7005.0"
"6156037729288192_circular_0_0","04:13:07","04:13:07","5231200858275840","32","7175.0"
"6156037729288192_circular_0_0","04:13:39","04:13:39","6402283418419200","33","7343.0"
"6156037729288192_circular_0_0","04:14:15","04:14:15","4748126827577344","34","7528.0"
"6156037729288192_circular_0_0","04:14:48","04:14:48","568034","35","7698.0"
