"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"739184_ida_0_0","03:50:00","03:50:00","746161","0","14.0"
"739184_ida_0_0","03:50:37","03:50:37","739180","1","331.0"
"739184_ida_0_0","03:51:07","03:51:07","741159","2","595.0"
"739184_ida_0_0","03:51:49","03:51:49","744157","3","967.0"
"739184_ida_0_0","03:52:26","03:52:26","738152","4","1294.0"
"739184_ida_0_0","03:53:09","03:53:09","737150","5","1673.0"
"739184_ida_0_0","03:54:43","03:54:43","714081","6","2503.0"
"739184_ida_0_0","03:55:15","03:55:15","712221","7","2782.0"
"739184_ida_0_0","03:55:42","03:55:42","715072","8","3026.0"
"739184_ida_0_0","03:56:39","03:56:39","715073","9","3529.0"
"739184_ida_0_0","03:57:18","03:57:18","714073","10","3867.0"
"739184_ida_0_0","03:57:31","03:57:31","30796547","11","3988.0"
"739184_ida_0_0","03:57:47","03:57:47","715074","12","4130.0"
"739184_ida_0_0","03:58:13","03:58:13","745155","13","4359.0"
"739184_ida_0_0","03:58:35","03:58:35","708084","14","4551.0"
"739184_ida_0_0","03:59:22","03:59:22","643187","15","4968.0"
"739184_ida_0_0","03:59:46","03:59:46","719080","16","5146.0"
"739184_ida_0_0","04:00:07","04:00:07","721078","17","5362.0"
"739184_ida_0_0","04:00:36","04:00:36","719081","18","5621.0"
"739184_ida_0_0","04:01:16","04:01:16","710081","19","5968.0"
"739184_ida_0_0","04:01:54","04:01:54","714074","20","6303.0"
"739184_ida_0_0","04:02:33","04:02:33","708085","21","6649.0"
"739184_ida_0_0","04:03:13","04:03:13","716080","22","7004.0"
"739184_ida_0_0","04:03:51","04:03:51","702067","23","7336.0"
"739184_ida_0_0","04:04:25","04:04:25","744159","24","7637.0"
"739184_ida_0_0","04:05:37","04:05:37","714075","25","8279.0"
"739184_ida_0_0","04:06:07","04:06:07","715076","26","8544.0"
"739184_ida_0_0","04:07:42","04:07:42","743156","27","9381.0"
"739184_ida_0_0","04:10:20","04:10:20","702017","28","10772.0"
"739184_ida_0_0","04:11:27","04:11:27","5672397250756608","29","11365.0"
"739184_ida_0_0","04:14:20","04:14:20","722078","30","12890.0"
"739184_ida_0_0","04:15:58","04:15:58","717089","31","13761.0"
"739184_ida_0_0","04:18:00","04:18:00","640194","32","14833.0"
"739184_ida_0_0","04:20:06","04:20:06","721187","33","15943.0"
"739184_ida_0_0","04:21:57","04:21:57","568114","34","16929.0"
"739184_ida_0_0","04:23:47","04:23:47","29388445","35","17895.0"
"739184_ida_0_0","04:26:55","04:26:55","541346","36","19552.0"
"739184_ida_0_0","04:29:51","04:29:51","719082","37","21109.0"
"739184_ida_0_0","04:34:03","04:34:03","31142460","38","23333.0"
"739184_ida_0_0","04:35:52","04:35:52","746343","39","24302.0"
"739184_ida_0_0","04:38:16","04:38:16","545361","40","25565.0"
"739184_ida_0_0","04:42:04","04:42:04","747482","41","27581.0"
"739184_ida_0_0","04:42:51","04:42:51","995075","42","27999.0"
"739184_ida_0_0","04:46:25","04:46:25","647176","43","29884.0"
"739184_ida_0_0","04:47:02","04:47:02","710020","44","30208.0"
"739184_ida_0_0","04:47:44","04:47:44","540381","45","30586.0"
"739184_ida_0_0","04:50:16","04:50:16","542337","46","31927.0"
"739184_ida_0_0","04:52:06","04:52:06","738155","47","32899.0"
"739184_ida_0_0","04:52:47","04:52:47","721080","48","33256.0"
"739184_ida_0_0","04:53:53","04:53:53","995076","49","33838.0"
"739184_ida_0_0","04:55:09","04:55:09","1014051","50","34513.0"
"739184_ida_0_0","04:57:53","04:57:53","714077","51","35958.0"
"739184_ida_0_0","04:59:59","04:59:59","6703218421661696","52","37072.0"
