"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"1444002_ida_0_0","04:10:00","04:10:00","1443001","0","36.0"
"1444002_ida_0_0","04:10:24","04:10:24","1395006","1","230.0"
"1444002_ida_0_0","04:10:46","04:10:46","1278022","2","442.0"
"1444002_ida_0_0","04:11:06","04:11:06","1443002","3","635.0"
"1444002_ida_0_0","04:11:31","04:11:31","1385005","4","873.0"
"1444002_ida_0_0","04:11:53","04:11:53","639206","5","1079.0"
"1444002_ida_0_0","04:12:03","04:12:03","30010223","6","1184.0"
"1444002_ida_0_0","04:12:33","04:12:33","30044067","7","1487.0"
"1444002_ida_0_0","04:13:17","04:13:17","1157003","8","1870.0"
"1444002_ida_0_0","04:14:14","04:14:14","557247","9","2411.0"
"1444002_ida_0_0","04:14:46","04:14:46","1447001","10","2735.0"
"1444002_ida_0_0","04:15:35","04:15:35","1395007","11","3231.0"
"1444002_ida_0_0","04:16:22","04:16:22","1369048","12","3653.0"
"1444002_ida_0_0","04:17:05","04:17:05","1448001","13","4066.0"
"1444002_ida_0_0","04:17:25","04:17:25","1449001","14","4254.0"
"1444002_ida_0_0","04:18:30","04:18:30","1447002","15","4875.0"
"1444002_ida_0_0","04:18:46","04:18:46","1443003","16","5059.0"
"1444002_ida_0_0","04:19:05","04:19:05","1439008","17","5213.0"
"1444002_ida_0_0","04:19:38","04:19:38","1445002","18","5530.0"
"1444002_ida_0_0","04:20:12","04:20:12","29496447","19","5867.0"
"1444002_ida_0_0","04:20:32","04:20:32","1447003","20","6039.0"
"1444002_ida_0_0","04:21:00","04:21:00","29649948","21","6294.0"
"1444002_ida_0_0","04:21:12","04:21:12","915124","22","6421.0"
"1444002_ida_0_0","04:22:34","04:22:34","29957068","23","7204.0"
"1444002_ida_0_0","04:23:31","04:23:31","29625594","24","7756.0"
"1444002_ida_0_0","04:24:20","04:24:20","29649949","25","8209.0"
"1444002_ida_0_0","04:24:33","04:24:33","29957069","26","8341.0"
"1444002_ida_0_0","04:27:50","04:27:50","543420","27","10230.0"
"1444002_ida_0_0","04:29:03","04:29:03","710019","28","10898.0"
"1444002_ida_0_0","04:30:19","04:30:19","714024","29","11651.0"
"1444002_ida_0_0","04:31:35","04:31:35","661003","30","12392.0"
"1444002_ida_0_0","04:33:03","04:33:03","741470","31","13220.0"
"1444002_ida_0_0","04:35:02","04:35:02","640194","32","14356.0"
"1444002_ida_0_0","04:36:12","04:36:12","757489","33","15032.0"
"1444002_ida_0_0","04:36:55","04:36:55","653095","34","15427.0"
"1444002_ida_0_0","04:38:42","04:38:42","568114","35","16452.0"
"1444002_ida_0_0","04:40:00","04:40:00","544364","36","17227.0"
"1444002_ida_0_0","04:43:09","04:43:09","659131","37","19026.0"
"1444002_ida_0_0","04:45:56","04:45:56","542336","38","20595.0"
"1444002_ida_0_0","04:47:17","04:47:17","541347","39","21398.0"
"1444002_ida_0_0","04:48:34","04:48:34","945126","40","22134.0"
"1444002_ida_0_0","04:51:19","04:51:19","1448003","41","23686.0"
"1444002_ida_0_0","04:53:44","04:53:44","1453001","42","25077.0"
"1444002_ida_0_0","04:58:01","04:58:01","588392","43","27529.0"
"1444002_ida_0_0","04:59:54","04:59:54","743163","44","28604.0"
"1444002_ida_0_0","05:01:21","05:01:21","567031","45","29441.0"
"1444002_ida_0_0","05:02:28","05:02:28","739846","46","30080.0"
"1444002_ida_0_0","05:04:46","05:04:46","743340","47","31391.0"
"1444002_ida_0_0","05:06:28","05:06:28","1451003","48","32373.0"
"1444002_ida_0_0","05:07:11","05:07:11","545362","49","32780.0"
"1444002_ida_0_0","05:08:10","05:08:10","540382","50","33345.0"
"1444002_ida_0_0","05:09:22","05:09:22","746690","51","34028.0"
"1444002_ida_0_0","05:10:29","05:10:29","708292","52","34676.0"
"1444002_ida_0_0","05:12:48","05:12:48","1445006","53","35999.0"
"1444002_ida_0_0","05:14:39","05:14:39","29534783","54","37056.0"
"1444002_ida_0_0","05:14:54","05:14:54","1157007","55","37206.0"
