"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"4543772996403200_volta_0_0","05:30:00","05:30:00","4853254079119360","0","29.0"
"4543772996403200_volta_0_0","05:31:25","05:31:25","4631859957071872","1","399.0"
"4543772996403200_volta_0_0","05:31:49","05:31:49","5017413399871488","2","512.0"
"4543772996403200_volta_0_0","05:32:30","05:32:30","5172556208537600","3","701.0"
"4543772996403200_volta_0_0","05:33:41","05:33:41","6499117524320256","4","1030.0"
"4543772996403200_volta_0_0","05:34:20","05:34:20","6191377077764096","5","1212.0"
"4543772996403200_volta_0_0","05:35:48","05:35:48","5667056597073920","6","1624.0"
"4543772996403200_volta_0_0","05:37:04","05:37:04","6175230685085696","7","1978.0"
"4543772996403200_volta_0_0","05:38:47","05:38:47","4668903781564416","8","2458.0"
"4543772996403200_volta_0_0","05:40:48","05:40:48","5106722949824512","9","3020.0"
"4543772996403200_volta_0_0","05:44:05","05:44:05","5104106643652608","10","3937.0"
"4543772996403200_volta_0_0","05:45:59","05:45:59","5980192462077952","11","4468.0"
"4543772996403200_volta_0_0","05:47:15","05:47:15","6298456115380224","12","4821.0"
"4543772996403200_volta_0_0","05:49:57","05:49:57","4820484049076224","13","5603.0"
"4543772996403200_volta_0_0","05:52:37","05:52:37","6664087620812800","14","6323.0"
"4543772996403200_volta_0_0","05:54:01","05:54:01","5612280731664384","15","6712.0"
"4543772996403200_volta_0_0","05:55:06","05:55:06","5685761313865728","16","7018.0"
"4543772996403200_volta_0_0","05:57:46","05:57:46","4669530175700992","17","7763.0"
"4543772996403200_volta_0_0","05:59:27","05:59:27","5628427124342784","18","8230.0"
"4543772996403200_volta_0_0","06:00:41","06:00:41","6230006550495232","19","8604.0"
"4543772996403200_volta_0_0","06:02:24","06:02:24","5417242508656640","20","9055.0"
"4543772996403200_volta_0_0","06:04:36","06:04:36","4891081231826944","21","9680.0"
"4543772996403200_volta_0_0","06:06:41","06:06:41","5222416618094592","22","10252.0"
"4543772996403200_volta_0_0","06:09:01","06:09:01","6754327031185408","23","10905.0"
"4543772996403200_volta_0_0","06:10:00","06:10:00","5149856064864256","24","11177.0"
