"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"5481069045612544_anti-horário_0_0","00:05:00","00:05:00","6423668291796992","0","23.0"
"5481069045612544_anti-horário_0_0","00:05:52","00:05:52","5133455217131520","1","239.0"
"5481069045612544_anti-horário_0_0","00:06:57","00:06:57","5086640409149440","2","537.0"
"5481069045612544_anti-horário_0_0","00:08:06","00:08:06","6378873393512448","3","857.0"
"5481069045612544_anti-horário_0_0","00:10:36","00:10:36","4888801229930496","4","1542.0"
"5481069045612544_anti-horário_0_0","00:13:40","00:13:40","6668375731208192","5","2387.0"
"5481069045612544_anti-horário_0_0","00:16:45","00:16:45","5185900794347520","6","3233.0"
"5481069045612544_anti-horário_0_0","00:19:21","00:19:21","5016467689963520","7","3947.0"
"5481069045612544_anti-horário_0_0","00:20:31","00:20:31","6039881540173824","8","4271.0"
"5481069045612544_anti-horário_0_0","00:21:39","00:21:39","5219846001262592","9","4592.0"
"5481069045612544_anti-horário_0_0","00:28:53","00:28:53","777004","10","6573.0"
"5481069045612544_anti-horário_0_0","00:48:26","00:48:26","5556535315922944","11","11950.0"
"5481069045612544_anti-horário_0_0","00:50:58","00:50:58","5539993517817856","12","12643.0"
"5481069045612544_anti-horário_0_0","00:55:37","00:55:37","5859137723301888","13","13925.0"
"5481069045612544_anti-horário_0_0","01:03:28","01:03:28","4817709958168576","14","16084.0"
"5481069045612544_anti-horário_0_0","01:12:55","01:12:55","6418946847670272","15","18682.0"
"5481069045612544_anti-horário_0_0","01:17:33","01:17:33","5399160416108544","16","19958.0"
"5481069045612544_anti-horário_0_0","01:20:36","01:20:36","6595569794416640","17","20796.0"
"5481069045612544_anti-horário_0_0","01:28:48","01:28:48","610060","18","23052.0"
"5481069045612544_anti-horário_0_0","01:35:26","01:35:26","4523690086629376","19","24873.0"
"5481069045612544_anti-horário_0_0","01:38:04","01:38:04","4833358403076096","20","25597.0"
"5481069045612544_anti-horário_0_0","01:39:58","01:39:58","4981060717772800","21","26121.0"
"5481069045612544_anti-horário_0_0","01:43:53","01:43:53","6626906043580416","22","27198.0"
"5481069045612544_anti-horário_0_0","01:46:45","01:46:45","6426763520376832","23","27989.0"
"5481069045612544_anti-horário_0_0","01:47:54","01:47:54","5623098735853568","24","28304.0"
"5481069045612544_anti-horário_0_0","01:54:58","01:54:58","6423668291796992","25","30245.0"
