"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"6404376353308672_horário_0_0","00:20:00","00:20:00","6278566646906880","0","29.0"
"6404376353308672_horário_0_0","00:24:04","00:24:04","4742203963342848","1","1140.0"
"6404376353308672_horário_0_0","00:27:56","00:27:56","5608583558332416","2","2224.0"
"6404376353308672_horário_0_0","00:32:30","00:32:30","6343543328079872","3","3503.0"
"6404376353308672_horário_0_0","00:33:31","00:33:31","4603319552049152","4","3788.0"
"6404376353308672_horário_0_0","00:36:14","00:36:14","5444158033494016","5","4551.0"
"6404376353308672_horário_0_0","00:38:22","00:38:22","6433234593251328","6","5151.0"
"6404376353308672_horário_0_0","00:39:56","00:39:56","5328932399218688","7","5588.0"
"6404376353308672_horário_0_0","00:40:55","00:40:55","4682826409574400","8","5863.0"
"6404376353308672_horário_0_0","00:42:03","00:42:03","4735050594910208","9","6181.0"
"6404376353308672_horário_0_0","00:44:25","00:44:25","5038915604971520","10","6846.0"
"6404376353308672_horário_0_0","00:49:26","00:49:26","5617198323204096","11","8252.0"
"6404376353308672_horário_0_0","00:54:56","00:54:56","647172","12","9793.0"
"6404376353308672_horário_0_0","01:00:10","01:00:10","736083","13","11256.0"
"6404376353308672_horário_0_0","01:03:19","01:03:19","560033","14","12141.0"
"6404376353308672_horário_0_0","01:06:33","01:06:33","584266","15","13046.0"
"6404376353308672_horário_0_0","01:10:21","01:10:21","6135547524284416","16","14113.0"
"6404376353308672_horário_0_0","01:13:23","01:13:23","5159533520355328","17","14962.0"
"6404376353308672_horário_0_0","01:15:51","01:15:51","5735169397882880","18","15650.0"
"6404376353308672_horário_0_0","01:19:09","01:19:09","17773012","19","16577.0"
"6404376353308672_horário_0_0","01:24:13","01:24:13","4777705290596352","20","17995.0"
"6404376353308672_horário_0_0","01:30:20","01:30:20","5011885547061248","21","19708.0"
"6404376353308672_horário_0_0","01:37:12","01:37:12","5518113226358784","22","21693.0"
"6404376353308672_horário_0_0","01:43:13","01:43:13","6252178367840256","23","23319.0"
"6404376353308672_horário_0_0","01:47:15","01:47:15","630069","24","24448.0"
"6404376353308672_horário_0_0","01:49:30","01:49:30","6391336650407936","25","25081.0"
"6404376353308672_horário_0_0","01:51:13","01:51:13","2054013","26","25560.0"
"6404376353308672_horário_0_0","01:53:15","01:53:15","5054703367880704","27","26128.0"
"6404376353308672_horário_0_0","01:56:13","01:56:13","5166269505470464","28","26963.0"
"6404376353308672_horário_0_0","02:02:16","02:02:16","6743098230046720","29","28659.0"
"6404376353308672_horário_0_0","02:08:35","02:08:35","5031481956106240","30","30427.0"
