"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"6404376353308672_anti-horário_0_0","01:10:00","01:10:00","5031481956106240","0","50.0"
"6404376353308672_anti-horário_0_0","01:12:50","01:12:50","5531496814215168","1","778.0"
"6404376353308672_anti-horário_0_0","01:17:29","01:17:29","5546367400280064","2","2045.0"
"6404376353308672_anti-horário_0_0","01:22:54","01:22:54","6343543328079872","3","3525.0"
"6404376353308672_anti-horário_0_0","01:23:49","01:23:49","4888032246235136","4","3778.0"
"6404376353308672_anti-horário_0_0","01:25:02","01:25:02","5868103870185472","5","4107.0"
"6404376353308672_anti-horário_0_0","01:26:53","01:26:53","5655212072108032","6","4614.0"
"6404376353308672_anti-horário_0_0","01:29:20","01:29:20","6547598130282496","7","5281.0"
"6404376353308672_anti-horário_0_0","01:30:52","01:30:52","552239","8","5701.0"
"6404376353308672_anti-horário_0_0","01:31:28","01:31:28","4682826409574400","9","5856.0"
"6404376353308672_anti-horário_0_0","01:31:55","01:31:55","5803921422417920","10","5987.0"
"6404376353308672_anti-horário_0_0","01:33:46","01:33:46","6720331816370176","11","6496.0"
"6404376353308672_anti-horário_0_0","01:35:49","01:35:49","678007","12","7052.0"
"6404376353308672_anti-horário_0_0","01:44:19","01:44:19","2008014","13","9378.0"
"6404376353308672_anti-horário_0_0","01:53:19","01:53:19","5172219444461568","14","11836.0"
"6404376353308672_anti-horário_0_0","01:59:14","01:59:14","4530454609788928","15","13449.0"
"6404376353308672_anti-horário_0_0","02:01:46","02:01:46","6137785453903872","16","14143.0"
"6404376353308672_anti-horário_0_0","02:03:35","02:03:35","640231","17","14639.0"
"6404376353308672_anti-horário_0_0","02:06:05","02:06:05","1959012","18","15322.0"
"6404376353308672_anti-horário_0_0","02:09:57","02:09:57","4844803484286976","19","16380.0"
"6404376353308672_anti-horário_0_0","02:14:10","02:14:10","5489635026272256","20","17529.0"
"6404376353308672_anti-horário_0_0","02:20:41","02:20:41","5213264349757440","21","19308.0"
"6404376353308672_anti-horário_0_0","02:22:46","02:22:46","6595569794416640","22","19881.0"
"6404376353308672_anti-horário_0_0","02:29:14","02:29:14","632061","23","21641.0"
"6404376353308672_anti-horário_0_0","02:34:44","02:34:44","658037","24","23146.0"
"6404376353308672_anti-horário_0_0","02:39:37","02:39:37","5149337901334528","25","24482.0"
"6404376353308672_anti-horário_0_0","02:43:55","02:43:55","5076905932881920","26","25658.0"
"6404376353308672_anti-horário_0_0","02:49:22","02:49:22","6657396721057792","27","27143.0"
"6404376353308672_anti-horário_0_0","02:52:44","02:52:44","2240008","28","28066.0"
"6404376353308672_anti-horário_0_0","02:58:46","02:58:46","6278566646906880","29","29713.0"
