"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"647074_circular_0_0","05:10:00","05:10:00","20799411","0","24.0"
"647074_circular_0_0","05:11:45","05:11:45","9406705","1","537.0"
"647074_circular_0_0","05:13:58","05:13:58","20784481","2","1213.0"
"647074_circular_0_0","05:14:14","05:14:14","1025043","3","1294.0"
"647074_circular_0_0","05:15:42","05:15:42","21153457","4","1746.0"
"647074_circular_0_0","05:17:07","05:17:07","890083","5","2176.0"
"647074_circular_0_0","05:18:24","05:18:24","641163","6","2589.0"
"647074_circular_0_0","05:19:32","05:19:32","653093","7","2916.0"
"647074_circular_0_0","05:21:51","05:21:51","943113","8","3621.0"
"647074_circular_0_0","05:27:02","05:27:02","1127015","9","5205.0"
"647074_circular_0_0","05:34:04","05:34:04","901046","10","7356.0"
"647074_circular_0_0","05:34:46","05:34:46","943114","11","7572.0"
"647074_circular_0_0","05:40:43","05:40:43","1127016","12","9388.0"
"647074_circular_0_0","05:41:53","05:41:53","1129022","13","9746.0"
"647074_circular_0_0","05:43:32","05:43:32","890084","14","10253.0"
"647074_circular_0_0","05:44:54","05:44:54","1048025","15","10650.0"
"647074_circular_0_0","05:47:16","05:47:16","1037049","16","11367.0"
"647074_circular_0_0","05:48:56","05:48:56","1130014","17","11896.0"
"647074_circular_0_0","05:50:22","05:50:22","642044","18","12338.0"
"647074_circular_0_0","05:51:24","05:51:24","1051048","19","12652.0"
"647074_circular_0_0","05:51:45","05:51:45","890085","20","12761.0"
"647074_circular_0_0","05:52:34","05:52:34","1130015","21","13011.0"
"647074_circular_0_0","05:52:57","05:52:57","1132012","22","13124.0"
"647074_circular_0_0","05:53:20","05:53:20","1128018","23","13242.0"
"647074_circular_0_0","05:54:13","05:54:13","943115","24","13513.0"
"647074_circular_0_0","05:54:41","05:54:41","594252","25","13654.0"
"647074_circular_0_0","05:55:08","05:55:08","638161","26","13795.0"
"647074_circular_0_0","05:56:02","05:56:02","642112","27","14067.0"
"647074_circular_0_0","05:57:56","05:57:56","1126028","28","14649.0"
"647074_circular_0_0","05:58:30","05:58:30","1131020","29","14821.0"
"647074_circular_0_0","05:59:47","05:59:47","567322","30","15213.0"
"647074_circular_0_0","06:00:29","06:00:29","1127017","31","15392.0"
"647074_circular_0_0","06:01:45","06:01:45","1126029","32","15817.0"
"647074_circular_0_0","06:03:48","06:03:48","21734346","33","16442.0"
"647074_circular_0_0","06:04:22","06:04:22","21310176","34","16613.0"
"647074_circular_0_0","06:05:45","06:05:45","6428405","35","17036.0"
"647074_circular_0_0","06:08:58","06:08:58","1048026","36","18021.0"
"647074_circular_0_0","06:09:28","06:09:28","1127018","37","18171.0"
"647074_circular_0_0","06:10:12","06:10:12","1048027","38","18398.0"
"647074_circular_0_0","06:11:27","06:11:27","1126030","39","18776.0"
"647074_circular_0_0","06:16:21","06:16:21","541712","40","20278.0"
"647074_circular_0_0","06:16:54","06:16:54","1132014","41","20445.0"
"647074_circular_0_0","06:17:47","06:17:47","1037050","42","20714.0"
"647074_circular_0_0","06:19:12","06:19:12","578105","43","21149.0"
"647074_circular_0_0","06:19:44","06:19:44","1127019","44","21307.0"
"647074_circular_0_0","06:21:19","06:21:19","988051","45","21795.0"
"647074_circular_0_0","06:22:32","06:22:32","1033034","46","22164.0"
"647074_circular_0_0","06:30:39","06:30:39","1130017","47","24645.0"
"647074_circular_0_0","06:43:08","06:43:08","1127020","48","28460.0"
"647074_circular_0_0","06:48:27","06:48:27","551641","49","30084.0"
"647074_circular_0_0","06:50:05","06:50:05","543595","50","30585.0"
"647074_circular_0_0","06:57:00","06:57:00","1127021","51","32659.0"
"647074_circular_0_0","06:58:13","06:58:13","1131021","52","33068.0"
"647074_circular_0_0","06:59:56","06:59:56","1130018","53","33558.0"
"647074_circular_0_0","07:01:00","07:01:00","20799412","54","33917.0"
"647074_circular_0_0","07:02:17","07:02:17","21915005","55","34312.0"
"647074_circular_0_0","07:05:18","07:05:18","20784482","56","35230.0"
"647074_circular_0_0","07:07:41","07:07:41","20877423","57","35960.0"
