"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"784026_volta_0_0","16:20:00","16:20:00","1013030","0","10.0"
"784026_volta_0_0","16:23:22","16:23:22","737996","1","1287.0"
"784026_volta_0_0","16:25:33","16:25:33","682058","2","2079.0"
"784026_volta_0_0","16:28:36","16:28:36","716395","3","3224.0"
"784026_volta_0_0","16:30:10","16:30:10","702202","4","3810.0"
"784026_volta_0_0","16:31:15","16:31:15","948039","5","4218.0"
"784026_volta_0_0","16:33:40","16:33:40","946072","6","5118.0"
"784026_volta_0_0","16:35:20","16:35:20","997027","7","5745.0"
"784026_volta_0_0","16:38:26","16:38:26","708409","8","6905.0"
"784026_volta_0_0","16:42:11","16:42:11","650042","10","8307.0"
"784026_volta_0_0","16:42:23","16:42:23","710413","11","8385.0"
"784026_volta_0_0","16:45:29","16:45:29","784038","12","9543.0"
"784026_volta_0_0","16:46:15","16:46:15","716396","13","9834.0"
"784026_volta_0_0","16:47:07","16:47:07","781240","14","10155.0"
"784026_volta_0_0","16:48:33","16:48:33","715379","15","10694.0"
"784026_volta_0_0","16:49:54","16:49:54","643487","16","11198.0"
"784026_volta_0_0","16:51:06","16:51:06","720385","17","11646.0"
"784026_volta_0_0","16:51:21","16:51:21","719382","18","11743.0"
"784026_volta_0_0","16:51:40","16:51:40","737998","19","11859.0"
"784026_volta_0_0","16:52:38","16:52:38","714378","20","12219.0"
"784026_volta_0_0","16:53:21","16:53:21","704416","21","12490.0"
"784026_volta_0_0","16:55:37","16:55:37","27232336","22","13339.0"
"784026_volta_0_0","16:56:46","16:56:46","747990","23","13771.0"
"784026_volta_0_0","16:57:24","16:57:24","781241","24","14006.0"
"784026_volta_0_0","17:00:20","17:00:20","706413","25","15102.0"
"784026_volta_0_0","17:00:50","17:00:50","715380","26","15293.0"
"784026_volta_0_0","17:01:10","17:01:10","717413","27","15415.0"
"784026_volta_0_0","17:01:59","17:01:59","719383","28","15720.0"
"784026_volta_0_0","17:03:59","17:03:59","26636282","29","16478.0"
"784026_volta_0_0","17:05:53","17:05:53","27261135","30","17189.0"
"784026_volta_0_0","17:06:13","17:06:13","29068035","31","17309.0"
"784026_volta_0_0","17:06:41","17:06:41","28847476","32","17483.0"
"784026_volta_0_0","17:07:37","17:07:37","27261136","33","17834.0"
"784026_volta_0_0","17:08:24","17:08:24","26634289","34","18131.0"
"784026_volta_0_0","17:09:58","17:09:58","787012","35","18712.0"
