route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"423032","0","423032_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"423032_ida"
"423032","0","423032_volta_0_0","Sao Bernardo do Campo (Jardim Las Palmas)",,"1",,"423032_volta"
"423060","0","423060_volta_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"1",,"423060_volta"
"423060","0","423060_ida_0_0","Suzano (Centro)",,"0",,"423060_ida"
"425007","0","425007_volta_0_0","Sao Bernardo do Campo (Parque Alvarenga)",,"1",,"425007_volta"
"425007","0","425007_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"425007_ida"
"425057","0","425057_ida_0_0","Santo Andre (Elclor)",,"0",,"425057_ida"
"425057","0","425057_volta_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"1",,"425057_volta"
"425098","0","425098_volta_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"1",,"425098_volta"
"425098","0","425098_ida_0_0","Suzano (Baruel)",,"0",,"425098_ida"
"426023","0","426023_volta_0_0","Sao Bernardo do Campo (Conjunto Terra Nova II)",,"1",,"426023_volta"
"426023","0","426023_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"426023_ida"
"426049","0","426049_ida_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"0",,"426049_ida"
"426049","0","426049_volta_0_0","Rio Grande da Serra (Centro)",,"1",,"426049_volta"
"427059","0","427059_ida_0_0","Sao Bernardo do Campo (Terminal Metropolitano de Sao Bernardo do Campo)",,"0",,"427059_ida"
"427059","0","427059_volta_0_0","Rio Grande da Serra (Centro)",,"1",,"427059_volta"
"429060","0","429060_volta_0_0","Santo Andre (Parque Represa Billings)",,"1",,"429060_volta"
"429060","0","429060_ida_0_0","Sbc (Terminal Metropolitano de Sao Bernardo do Campo)",,"0",,"429060_ida"
"429095","0","429095_ida_0_0","Suzano (Vila Fatima)",,"0",,"429095_ida"
"429095","0","429095_volta_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"1",,"429095_volta"
"431051","0","431051_volta_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"1",,"431051_volta"
"431051","0","431051_ida_0_0","Sao Bernardo do Campo (Terminal Metropolitano de Sao Bernardo do Campo)",,"0",,"431051_ida"
"432075","0","432075_ida_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires)",,"0",,"432075_ida"
"432075","0","432075_volta_0_0","Rio Grande da Serra (Sitio Maria Joana)",,"1",,"432075_volta"
"434012","0","434012_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"434012_ida"
"434012","0","434012_volta_0_0","Sao Bernardo do Campo (Area Verde)",,"1",,"434012_volta"
"434065","0","434065_ida_0_0","Suzano (Vila Ipelandia)",,"0",,"434065_ida"
"434065","0","434065_volta_0_0","Ribeirao Pires (Terminal Rodoviario de Ribeirao Pires",,"1",,"434065_volta"
"434072","0","434072_ida_0_0","Maua (Capburgo)",,"0",,"434072_ida"
