"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"547262_ida_0_0","04:10:00","04:10:00","542224","0","30.0"
"547262_ida_0_0","04:10:41","04:10:41","12232866","1","193.0"
"547262_ida_0_0","04:11:28","04:11:28","549245","2","409.0"
"547262_ida_0_0","04:12:03","04:12:03","13099448","3","569.0"
"547262_ida_0_0","04:13:08","04:13:08","544006","4","870.0"
"547262_ida_0_0","04:13:34","04:13:34","540272","5","993.0"
"547262_ida_0_0","04:14:29","04:14:29","539235","6","1246.0"
"547262_ida_0_0","04:15:15","04:15:15","550001","7","1458.0"
"547262_ida_0_0","04:16:00","04:16:00","538225","8","1665.0"
"547262_ida_0_0","04:16:34","04:16:34","540273","9","1821.0"
"547262_ida_0_0","04:17:15","04:17:15","543235","10","2014.0"
"547262_ida_0_0","04:18:27","04:18:27","537251","11","2346.0"
"547262_ida_0_0","04:19:09","04:19:09","551248","12","2537.0"
"547262_ida_0_0","04:19:54","04:19:54","550227","13","2745.0"
"547262_ida_0_0","04:21:03","04:21:03","548273","14","3069.0"
"547262_ida_0_0","04:22:52","04:22:52","546003","15","3577.0"
"547262_ida_0_0","04:24:41","04:24:41","547260","16","4070.0"
"547262_ida_0_0","04:25:45","04:25:45","547005","17","4372.0"
"547262_ida_0_0","04:26:27","04:26:27","546259","18","4569.0"
"547262_ida_0_0","04:27:13","04:27:13","547008","19","4773.0"
"547262_ida_0_0","04:27:43","04:27:43","537252","20","4912.0"
"547262_ida_0_0","04:28:33","04:28:33","538226","21","5148.0"
"547262_ida_0_0","04:29:07","04:29:07","537243","22","5299.0"
"547262_ida_0_0","04:30:15","04:30:15","551241","23","5615.0"
"547262_ida_0_0","04:31:25","04:31:25","537025","24","5940.0"
"547262_ida_0_0","04:32:51","04:32:51","545233","25","6337.0"
"547262_ida_0_0","04:33:25","04:33:25","30847099","26","6492.0"
"547262_ida_0_0","04:34:00","04:34:00","551249","27","6653.0"
"547262_ida_0_0","04:34:47","04:34:47","548274","28","6871.0"
"547262_ida_0_0","04:35:54","04:35:54","545275","29","7180.0"
"547262_ida_0_0","04:37:02","04:37:02","548275","30","7493.0"
"547262_ida_0_0","04:37:58","04:37:58","538260","31","7769.0"
"547262_ida_0_0","04:39:05","04:39:05","540274","32","8086.0"
"547262_ida_0_0","04:39:52","04:39:52","547301","33","8280.0"
"547262_ida_0_0","04:41:07","04:41:07","551250","34","8654.0"
"547262_ida_0_0","04:43:15","04:43:15","550228","35","9215.0"
"547262_ida_0_0","04:44:08","04:44:08","485061","36","9453.0"
"547262_ida_0_0","04:45:15","04:45:15","507057","37","9772.0"
"547262_ida_0_0","04:46:02","04:46:02","545272","38","9987.0"
"547262_ida_0_0","04:46:43","04:46:43","496056","39","10178.0"
"547262_ida_0_0","04:48:07","04:48:07","543220","40","10567.0"
"547262_ida_0_0","04:48:43","04:48:43","549229","41","10732.0"
"547262_ida_0_0","04:54:40","04:54:40","551219","42","12406.0"
"547262_ida_0_0","04:55:45","04:55:45","506055","43","12681.0"
"547262_ida_0_0","04:56:24","04:56:24","539238","44","12866.0"
"547262_ida_0_0","04:57:36","04:57:36","551252","45","13195.0"
"547262_ida_0_0","05:00:00","05:00:00","550230","46","13863.0"
"547262_ida_0_0","05:01:20","05:01:20","544250","47","14232.0"
"547262_ida_0_0","05:02:14","05:02:14","551253","48","14482.0"
"547262_ida_0_0","05:02:54","05:02:54","545234","49","14666.0"
"547262_ida_0_0","05:03:35","05:03:35","539239","50","14854.0"
"547262_ida_0_0","05:06:47","05:06:47","542209","51","15742.0"
"547262_ida_0_0","05:07:44","05:07:44","544242","52","16004.0"
"547262_ida_0_0","05:09:16","05:09:16","551221","53","16428.0"
"547262_ida_0_0","05:10:05","05:10:05","538228","54","16655.0"
"547262_ida_0_0","05:11:36","05:11:36","548277","55","17075.0"
"547262_ida_0_0","05:13:04","05:13:04","545219","56","17481.0"
"547262_ida_0_0","05:13:51","05:13:51","483069","57","17698.0"
"547262_ida_0_0","05:14:37","05:14:37","12225831","58","17911.0"
"547262_ida_0_0","05:14:59","05:14:59","485062","59","18012.0"
