"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"5481069045612544_horário_0_0","00:00:00","00:00:00","6423668291796992","0","30.0"
"5481069045612544_horário_0_0","00:03:24","00:03:24","6105425777786880","1","925.0"
"5481069045612544_horário_0_0","00:06:33","00:06:33","6668375731208192","2","1787.0"
"5481069045612544_horário_0_0","00:06:53","00:06:53","6133496744509440","3","1874.0"
"5481069045612544_horário_0_0","00:09:48","00:09:48","5662134888300544","4","2670.0"
"5481069045612544_horário_0_0","00:11:35","00:11:35","5855996894248960","5","3153.0"
"5481069045612544_horário_0_0","00:13:33","00:13:33","6519699448791040","6","3690.0"
"5481069045612544_horário_0_0","00:14:33","00:14:33","6698130123784192","7","3964.0"
"5481069045612544_horário_0_0","00:15:45","00:15:45","5501006136737792","8","4306.0"
"5481069045612544_horário_0_0","00:19:44","00:19:44","541789","9","5373.0"
"5481069045612544_horário_0_0","00:28:33","00:28:33","4523690455728128","10","7775.0"
"5481069045612544_horário_0_0","00:39:33","00:39:33","6296176113483776","11","10769.0"
"5481069045612544_horário_0_0","00:43:03","00:43:03","5297942666674176","12","11722.0"
"5481069045612544_horário_0_0","00:48:28","00:48:28","6135547524284416","13","13193.0"
"5481069045612544_horário_0_0","00:52:14","00:52:14","4977043564396544","14","14220.0"
"5481069045612544_horário_0_0","01:01:21","01:01:21","5293046940827648","15","16702.0"
"5481069045612544_horário_0_0","01:08:47","01:08:47","5821157797265408","16","18723.0"
"5481069045612544_horário_0_0","01:17:51","01:17:51","6388435601326080","17","21192.0"
"5481069045612544_horário_0_0","01:26:27","01:26:27","640239","18","23535.0"
"5481069045612544_horário_0_0","01:32:01","01:32:01","630069","19","25048.0"
"5481069045612544_horário_0_0","01:33:47","01:33:47","4698788017995776","20","25528.0"
"5481069045612544_horário_0_0","01:37:48","01:37:48","6626906043580416","21","26625.0"
"5481069045612544_horário_0_0","01:40:59","01:40:59","5748850747768832","22","27491.0"
"5481069045612544_horário_0_0","01:41:45","01:41:45","5623098735853568","23","27699.0"
"5481069045612544_horário_0_0","01:46:19","01:46:19","4913981633331200","24","28942.0"
"5481069045612544_horário_0_0","01:47:36","01:47:36","5782795954683904","25","29290.0"
"5481069045612544_horário_0_0","01:49:06","01:49:06","5964862235607040","26","29699.0"
"5481069045612544_horário_0_0","01:49:56","01:49:56","6423668291796992","27","29926.0"
