"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"642108_circular_0_0","04:50:00","04:50:00","38597100","0","28.0"
"642108_circular_0_0","04:51:34","04:51:34","540718","1","491.0"
"642108_circular_0_0","04:52:17","04:52:17","634167","2","767.0"
"642108_circular_0_0","04:52:37","04:52:37","588292","3","877.0"
"642108_circular_0_0","04:53:34","04:53:34","642096","4","1192.0"
"642108_circular_0_0","04:54:38","04:54:38","538676","5","1551.0"
"642108_circular_0_0","04:55:33","04:55:33","598237","6","1857.0"
"642108_circular_0_0","04:58:04","04:58:04","633154","7","2694.0"
"642108_circular_0_0","04:59:43","04:59:43","568379","8","3246.0"
"642108_circular_0_0","05:00:46","05:00:46","1145047","9","3593.0"
"642108_circular_0_0","05:01:45","05:01:45","1035052","10","3920.0"
"642108_circular_0_0","05:02:51","05:02:51","951156","11","4289.0"
"642108_circular_0_0","05:04:01","05:04:01","588293","12","4678.0"
"642108_circular_0_0","05:05:23","05:05:23","550383","13","5134.0"
"642108_circular_0_0","05:06:02","05:06:02","551384","14","5351.0"
"642108_circular_0_0","05:06:44","05:06:44","543349","15","5585.0"
"642108_circular_0_0","05:09:25","05:09:25","1193001","16","6481.0"
"642108_circular_0_0","05:10:28","05:10:28","568380","17","6828.0"
"642108_circular_0_0","05:12:00","05:12:00","567386","18","7340.0"
"642108_circular_0_0","05:13:17","05:13:17","546382","19","7773.0"
"642108_circular_0_0","05:16:52","05:16:52","750052","20","8967.0"
"642108_circular_0_0","05:18:44","05:18:44","537674","21","9586.0"
"642108_circular_0_0","05:19:33","05:19:33","674182","22","9859.0"
"642108_circular_0_0","05:22:11","05:22:11","538678","23","10738.0"
"642108_circular_0_0","05:23:07","05:23:07","1145048","24","11052.0"
"642108_circular_0_0","05:23:37","05:23:37","633156","25","11215.0"
"642108_circular_0_0","05:24:49","05:24:49","568381","26","11617.0"
"642108_circular_0_0","05:25:58","05:25:58","567387","27","12002.0"
"642108_circular_0_0","05:26:55","05:26:55","540721","28","12318.0"
"642108_circular_0_0","05:28:18","05:28:18","634169","29","12780.0"
"642108_circular_0_0","05:29:06","05:29:06","537704","30","13045.0"
"642108_circular_0_0","05:30:49","05:30:49","588295","31","13630.0"
"642108_circular_0_0","05:33:02","05:33:02","642097","32","14358.0"
"642108_circular_0_0","05:33:42","05:33:42","594242","33","14581.0"
"642108_circular_0_0","05:36:03","05:36:03","551731","34","15367.0"
"642108_circular_0_0","05:37:48","05:37:48","647075","35","15949.0"
"642108_circular_0_0","05:38:48","05:38:48","1341001","36","16284.0"
"642108_circular_0_0","05:40:22","05:40:22","567388","37","16808.0"
"642108_circular_0_0","05:41:40","05:41:40","540581","38","17238.0"
"642108_circular_0_0","05:42:39","05:42:39","637043","39","17567.0"
"642108_circular_0_0","05:44:38","05:44:38","1029131","40","18230.0"
"642108_circular_0_0","05:45:23","05:45:23","642098","41","18478.0"
"642108_circular_0_0","05:45:37","05:45:37","541704","42","18559.0"
"642108_circular_0_0","05:46:07","05:46:07","568241","43","18722.0"
"642108_circular_0_0","05:47:45","05:47:45","537569","44","19266.0"
"642108_circular_0_0","05:50:02","05:50:02","538680","45","20033.0"
"642108_circular_0_0","05:51:00","05:51:00","598239","46","20353.0"
"642108_circular_0_0","05:52:18","05:52:18","540723","47","20784.0"
"642108_circular_0_0","05:53:37","05:53:37","544358","48","21224.0"
"642108_circular_0_0","05:55:33","05:55:33","588297","49","21869.0"
"642108_circular_0_0","05:57:04","05:57:04","642099","50","22376.0"
"642108_circular_0_0","05:58:26","05:58:26","594244","51","22834.0"
"642108_circular_0_0","06:00:08","06:00:08","546368","52","23398.0"
"642108_circular_0_0","06:01:27","06:01:27","638150","53","23841.0"
"642108_circular_0_0","06:02:27","06:02:27","633157","54","24171.0"
"642108_circular_0_0","06:04:21","06:04:21","568382","55","24807.0"
"642108_circular_0_0","06:05:04","06:05:04","642100","56","25043.0"
"642108_circular_0_0","06:06:26","06:06:26","594245","57","25502.0"
"642108_circular_0_0","06:07:28","06:07:28","539370","58","25846.0"
"642108_circular_0_0","06:08:09","06:08:09","538681","59","26072.0"
"642108_circular_0_0","06:10:10","06:10:10","598241","60","26748.0"
"642108_circular_0_0","06:12:12","06:12:12","638151","61","27399.0"
"642108_circular_0_0","06:13:35","06:13:35","634170","62","27886.0"
"642108_circular_0_0","06:15:40","06:15:40","588299","63","28584.0"
"642108_circular_0_0","06:17:09","06:17:09","642101","64","29079.0"
"642108_circular_0_0","06:18:04","06:18:04","541705","65","29384.0"
"642108_circular_0_0","06:20:24","06:20:24","594246","66","30163.0"
"642108_circular_0_0","06:23:24","06:23:24","543368","67","31163.0"
"642108_circular_0_0","06:24:43","06:24:43","598242","68","31600.0"
"642108_circular_0_0","06:25:34","06:25:34","550356","69","31884.0"
"642108_circular_0_0","06:26:18","06:26:18","633158","70","32129.0"
"642108_circular_0_0","06:27:20","06:27:20","537550","71","32476.0"
