"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"741267_volta_0_0","05:00:00","05:00:00","736247","0","27.0"
"741267_volta_0_0","05:01:56","05:01:56","667082","1","456.0"
"741267_volta_0_0","05:03:05","05:03:05","4565350511280128","2","708.0"
"741267_volta_0_0","05:05:58","05:05:58","663107","3","1403.0"
"741267_volta_0_0","05:07:59","05:07:59","656135","4","1875.0"
"741267_volta_0_0","05:10:24","05:10:24","670060","5","2442.0"
"741267_volta_0_0","05:12:17","05:12:17","670121","6","2883.0"
"741267_volta_0_0","05:14:11","05:14:11","663108","7","3336.0"
"741267_volta_0_0","05:16:42","05:16:42","626156","8","3920.0"
"741267_volta_0_0","05:20:00","05:20:00","757817","9","4725.0"
"741267_volta_0_0","05:21:55","05:21:55","945018","10","5146.0"
"741267_volta_0_0","05:24:01","05:24:01","790056","11","5639.0"
"741267_volta_0_0","05:31:47","05:31:47","660065","12","7443.0"
"741267_volta_0_0","05:35:17","05:35:17","557103","13","8286.0"
"741267_volta_0_0","05:38:28","05:38:28","616062","14","9035.0"
"741267_volta_0_0","05:45:25","05:45:25","661056","15","10671.0"
"741267_volta_0_0","05:51:23","05:51:23","704218","16","12066.0"
"741267_volta_0_0","05:52:45","05:52:45","4795380919173120","17","12379.0"
"741267_volta_0_0","05:59:01","05:59:01","663065","18","13881.0"
"741267_volta_0_0","06:04:52","06:04:52","660066","19","15229.0"
"741267_volta_0_0","06:14:10","06:14:10","666058","20","17439.0"
"741267_volta_0_0","06:30:42","06:30:42","664280","21","21319.0"
"741267_volta_0_0","06:32:29","06:32:29","1015027","22","21688.0"
"741267_volta_0_0","06:33:59","06:33:59","1057018","23","22090.0"
"741267_volta_0_0","06:35:14","06:35:14","665054","24","22357.0"
"741267_volta_0_0","06:43:33","06:43:33","663091","25","24296.0"
"741267_volta_0_0","06:44:43","06:44:43","1015049","26","24604.0"
"741267_volta_0_0","06:45:50","06:45:50","860037","27","24825.0"
"741267_volta_0_0","06:48:25","06:48:25","650042","28","25471.0"
"741267_volta_0_0","06:50:15","06:50:15","717438","29","25899.0"
"741267_volta_0_0","06:53:21","06:53:21","660068","30","26598.0"
"741267_volta_0_0","06:56:23","06:56:23","626110","31","27299.0"
"741267_volta_0_0","06:57:13","06:57:13","656090","32","27535.0"
"741267_volta_0_0","06:58:37","06:58:37","6712335406202880","33","27844.0"
"741267_volta_0_0","06:59:59","06:59:59","301076082","34","28153.0"
