"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"122056109_ida_0_0","06:20:00","06:20:00","121886064","0","30.0"
"122056109_ida_0_0","06:23:49","06:23:49","1071028","1","2028.0"
"122056109_ida_0_0","06:24:50","06:24:50","1167010","2","2567.0"
"122056109_ida_0_0","06:28:09","06:28:09","122086066","3","4318.0"
"122056109_ida_0_0","06:29:31","06:29:31","122076194","4","5043.0"
"122056109_ida_0_0","06:30:40","06:30:40","128386089","5","5657.0"
"122056109_ida_0_0","06:33:35","06:33:35","636113","6","7200.0"
"122056109_ida_0_0","06:35:30","06:35:30","649038","7","8214.0"
"122056109_ida_0_0","06:36:09","06:36:09","653027","8","8561.0"
"122056109_ida_0_0","06:38:32","06:38:32","121976365","9","9795.0"
"122056109_ida_0_0","06:42:58","06:42:58","128356077","10","12169.0"
"122056109_ida_0_0","06:45:27","06:45:27","653030","11","13499.0"
"122056109_ida_0_0","06:46:56","06:46:56","977105","12","14265.0"
"122056109_ida_0_0","06:48:35","06:48:35","1154029","13","15145.0"
"122056109_ida_0_0","06:49:25","06:49:25","1037065","14","15607.0"
"122056109_ida_0_0","07:00:30","07:00:30","1037066","15","21471.0"
"122056109_ida_0_0","07:01:20","07:01:20","599140","16","21892.0"
"122056109_ida_0_0","07:02:14","07:02:14","1071030","17","22382.0"
"122056109_ida_0_0","07:03:48","07:03:48","1098045","18","23217.0"
"122056109_ida_0_0","07:07:23","07:07:23","1037068","19","25133.0"
"122056109_ida_0_0","07:10:32","07:10:32","1153031","20","26805.0"
"122056109_ida_0_0","07:12:33","07:12:33","641091","21","27837.0"
"122056109_ida_0_0","07:14:44","07:14:44","1098046","22","29011.0"
"122056109_ida_0_0","07:19:10","07:19:10","648049","23","31337.0"
"122056109_ida_0_0","07:20:42","07:20:42","649050","24","32149.0"
"122056109_ida_0_0","07:25:23","07:25:23","635106","25","34635.0"
"122056109_ida_0_0","07:30:45","07:30:45","640106","26","37473.0"
"122056109_ida_0_0","07:34:30","07:34:30","648043","27","39492.0"
"122056109_ida_0_0","07:38:01","07:38:01","648050","28","41325.0"
"122056109_ida_0_0","07:39:59","07:39:59","599146","29","42366.0"
"122056109_ida_0_0","07:42:21","07:42:21","736121","30","43622.0"
"122056109_ida_0_0","07:43:46","07:43:46","649051","31","44366.0"
"122056109_ida_0_0","07:45:27","07:45:27","747113","32","45274.0"
"122056109_ida_0_0","07:46:52","07:46:52","588360","33","46014.0"
"122056109_ida_0_0","07:48:55","07:48:55","600149","34","47090.0"
"122056109_ida_0_0","07:50:47","07:50:47","636120","36","48082.0"
"122056109_ida_0_0","07:53:55","07:53:55","540801","37","49744.0"
"122056109_ida_0_0","07:49:02","07:49:02","603071","35","47184.0"
"122056109_ida_0_0","07:57:15","07:57:15","735143","38","51508.0"
"122056109_ida_0_0","07:57:52","07:57:52","574156","39","51864.0"
"122056109_ida_0_0","07:58:17","07:58:17","558352","40","52061.0"
"122056109_ida_0_0","07:59:16","07:59:16","1044066","41","52592.0"
"122056109_ida_0_0","07:59:45","07:59:45","652010","42","52853.0"
"122056109_ida_0_0","08:00:22","08:00:22","639139","43","53192.0"
"122056109_ida_0_0","08:00:47","08:00:47","653012","44","53364.0"
"122056109_ida_0_0","08:01:22","08:01:22","122296077","45","53688.0"
"122056109_ida_0_0","08:01:43","08:01:43","741129","46","53914.0"
"122056109_ida_0_0","08:02:18","08:02:18","644093","47","54182.0"
"122056109_ida_0_0","08:03:02","08:03:02","631052","48","54573.0"
"122056109_ida_0_0","08:03:44","08:03:44","594308","49","54949.0"
"122056109_ida_0_0","08:04:59","08:04:59","741130","50","55618.0"
"122056109_ida_0_0","08:06:40","08:06:40","634243","51","56537.0"
"122056109_ida_0_0","08:08:02","08:08:02","650055","52","57257.0"
"122056109_ida_0_0","08:09:11","08:09:11","652011","53","57834.0"
"122056109_ida_0_0","08:10:22","08:10:22","649044","54","58461.0"
"122056109_ida_0_0","08:12:25","08:12:25","652012","55","59556.0"
"122056109_ida_0_0","08:13:26","08:13:26","588365","56","60078.0"
"122056109_ida_0_0","08:14:09","08:14:09","37241038","57","60492.0"
"122056109_ida_0_0","08:14:55","08:14:55","643079","58","60893.0"
"122056109_ida_0_0","08:19:15","08:19:15","649045","59","63158.0"
"122056109_ida_0_0","08:19:22","08:19:22","712201","60","63222.0"
"122056109_ida_0_0","08:19:51","08:19:51","600125","61","63478.0"
