"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"5470225177509888_anti-horário_0_0","01:10:18","01:10:18","5968579865346048","1","84.0"
"5470225177509888_anti-horário_0_0","01:11:48","01:11:48","5164416428408832","2","498.0"
"5470225177509888_anti-horário_0_0","01:13:49","01:13:49","6593745976819712","3","1053.0"
"5470225177509888_anti-horário_0_0","01:18:09","01:18:09","6462078251433984","4","2241.0"
"5470225177509888_anti-horário_0_0","01:19:12","01:19:12","4577273293307904","5","2532.0"
"5470225177509888_anti-horário_0_0","01:21:15","01:21:15","5444158033494016","6","3097.0"
"5470225177509888_anti-horário_0_0","01:31:04","01:31:04","5399982600355840","7","5794.0"
"5470225177509888_anti-horário_0_0","01:35:51","01:35:51","5448072174764032","8","7109.0"
"5470225177509888_anti-horário_0_0","01:45:41","01:45:41","4906719934152704","9","9814.0"
"5470225177509888_anti-horário_0_0","01:50:02","01:50:02","6074327194664960","10","11011.0"
"5470225177509888_anti-horário_0_0","01:56:05","01:56:05","6387637878259712","11","12672.0"
"5470225177509888_anti-horário_0_0","01:59:14","01:59:14","6166527911919616","12","13539.0"
"5470225177509888_anti-horário_0_0","02:12:56","02:12:56","6457892537368576","14","17308.0"
"5470225177509888_anti-horário_0_0","02:14:54","02:14:54","2186001","15","17849.0"
"5470225177509888_anti-horário_0_0","02:22:19","02:22:19","601071","16","19885.0"
"5470225177509888_anti-horário_0_0","02:29:52","02:29:52","6500447878643712","17","21962.0"
"5470225177509888_anti-horário_0_0","02:32:26","02:32:26","630069","18","22666.0"
"5470225177509888_anti-horário_0_0","02:34:29","02:34:29","4698788017995776","19","23252.0"
"5470225177509888_anti-horário_0_0","02:36:57","02:36:57","712029","20","23910.0"
"5470225177509888_anti-horário_0_0","02:38:29","02:38:29","6644013133201408","21","24330.0"
"5470225177509888_anti-horário_0_0","01:10:00","01:10:00","5519923689291776","0","26.0"
