"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"5473598849155072_volta_0_0","00:00:00","00:00:00","785001","0","29.0"
"5473598849155072_volta_0_0","00:01:23","00:01:23","5105144","1","737.0"
"5473598849155072_volta_0_0","00:01:51","00:01:51","747980","2","975.0"
"5473598849155072_volta_0_0","00:02:22","00:02:22","785010","3","1253.0"
"5473598849155072_volta_0_0","00:03:06","00:03:06","674125","4","1637.0"
"5473598849155072_volta_0_0","00:06:00","00:06:00","873065","5","3167.0"
"5473598849155072_volta_0_0","00:07:25","00:07:25","5870207","6","3903.0"
"5473598849155072_volta_0_0","00:11:05","00:11:05","926064","7","5841.0"
"5473598849155072_volta_0_0","00:12:45","00:12:45","785011","8","6724.0"
"5473598849155072_volta_0_0","00:16:52","00:16:52","1079008","9","8897.0"
"5473598849155072_volta_0_0","00:21:02","00:21:02","933041","10","11092.0"
"5473598849155072_volta_0_0","00:23:13","00:23:13","1161044","11","12241.0"
"5473598849155072_volta_0_0","00:24:19","00:24:19","663265","12","12820.0"
"5473598849155072_volta_0_0","00:26:02","00:26:02","777071","13","13727.0"
"5473598849155072_volta_0_0","00:26:49","00:26:49","682080","14","14135.0"
"5473598849155072_volta_0_0","00:27:41","00:27:41","740975","15","14595.0"
"5473598849155072_volta_0_0","00:31:32","00:31:32","786014","16","14755.0"
"5473598849155072_volta_0_0","00:31:52","00:31:52","783020","17","15074.0"
"5473598849155072_volta_0_0","00:32:26","00:32:26","661275","18","15630.0"
"5473598849155072_volta_0_0","00:32:38","00:32:38","740976","19","15818.0"
"5473598849155072_volta_0_0","00:32:42","00:32:42","662269","20","15875.0"
"5473598849155072_volta_0_0","00:33:21","00:33:21","5475382","21","16517.0"
"5473598849155072_volta_0_0","00:34:19","00:34:19","786015","22","17173.0"
"5473598849155072_volta_0_0","00:34:41","00:34:41","785012","23","17378.0"
"5473598849155072_volta_0_0","00:34:52","00:34:52","738979","24","17473.0"
"5473598849155072_volta_0_0","00:35:28","00:35:28","784023","25","17786.0"
"5473598849155072_volta_0_0","00:36:01","00:36:01","744992","26","18067.0"
"5473598849155072_volta_0_0","00:36:30","00:36:30","747982","27","18330.0"
"5473598849155072_volta_0_0","00:36:58","00:36:58","783021","28","18568.0"
"5473598849155072_volta_0_0","00:37:59","00:37:59","788001","29","19114.0"
"5473598849155072_volta_0_0","00:38:45","00:38:45","740977","30","19513.0"
"5473598849155072_volta_0_0","00:39:06","00:39:06","5634585129123840","31","19694.0"
"5473598849155072_volta_0_0","00:40:58","00:40:58","786016","32","20679.0"
"5473598849155072_volta_0_0","00:41:49","00:41:49","785013","33","21132.0"
"5473598849155072_volta_0_0","00:42:18","00:42:18","738980","34","21384.0"
"5473598849155072_volta_0_0","00:44:16","00:44:16","784024","35","22438.0"
"5473598849155072_volta_0_0","00:45:01","00:45:01","741975","36","22821.0"
"5473598849155072_volta_0_0","00:45:32","00:45:32","785014","37","23114.0"
"5473598849155072_volta_0_0","00:46:43","00:46:43","160826007","38","23710.0"
