"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"560171_circular_0_0","05:10:00","05:10:00","616095","0","17.0"
"560171_circular_0_0","05:11:18","05:11:18","639116","1","347.0"
"560171_circular_0_0","05:12:59","05:12:59","560169","2","798.0"
"560171_circular_0_0","05:14:49","05:14:49","637103","3","1286.0"
"560171_circular_0_0","05:16:16","05:16:16","640080","4","1666.0"
"560171_circular_0_0","05:16:45","05:16:45","613121","5","1802.0"
"560171_circular_0_0","05:17:20","05:17:20","558267","6","1952.0"
"560171_circular_0_0","05:19:03","05:19:03","639117","7","2413.0"
"560171_circular_0_0","05:19:58","05:19:58","10925224","8","2659.0"
"560171_circular_0_0","05:20:45","05:20:45","11031277","9","2866.0"
"560171_circular_0_0","05:21:08","05:21:08","563134","10","2969.0"
"560171_circular_0_0","05:22:01","05:22:01","637104","11","3206.0"
"560171_circular_0_0","05:22:41","05:22:41","591152","12","3382.0"
"560171_circular_0_0","05:24:02","05:24:02","616096","13","3740.0"
"560171_circular_0_0","05:24:31","05:24:31","614106","14","3872.0"
"560171_circular_0_0","05:25:10","05:25:10","552141","15","4044.0"
"560171_circular_0_0","05:25:31","05:25:31","564152","16","4137.0"
"560171_circular_0_0","05:26:15","05:26:15","558268","17","4333.0"
"560171_circular_0_0","05:27:19","05:27:19","641068","18","4636.0"
"560171_circular_0_0","05:28:17","05:28:17","615139","19","4882.0"
"560171_circular_0_0","05:29:24","05:29:24","563135","20","5191.0"
"560171_circular_0_0","05:30:09","05:30:09","591153","21","5371.0"
"560171_circular_0_0","05:31:22","05:31:22","640081","22","5694.0"
"560171_circular_0_0","05:32:09","05:32:09","641069","23","5906.0"
"560171_circular_0_0","05:33:02","05:33:02","591154","24","6138.0"
"560171_circular_0_0","05:35:27","05:35:27","558269","25","6783.0"
"560171_circular_0_0","05:36:23","05:36:23","563136","26","7034.0"
"560171_circular_0_0","05:36:55","05:36:55","557142","27","7173.0"
"560171_circular_0_0","05:38:01","05:38:01","10813091","28","7468.0"
"560171_circular_0_0","05:38:49","05:38:49","543403","29","7680.0"
"560171_circular_0_0","05:40:07","05:40:07","537429","30","8014.0"
"560171_circular_0_0","05:40:48","05:40:48","546442","31","8207.0"
"560171_circular_0_0","05:41:36","05:41:36","590001","32","8422.0"
"560171_circular_0_0","05:42:36","05:42:36","588003","33","8687.0"
"560171_circular_0_0","05:43:22","05:43:22","29383093","34","8892.0"
"560171_circular_0_0","05:44:58","05:44:58","29351146","35","9319.0"
"560171_circular_0_0","05:47:42","05:47:42","543404","36","10059.0"
"560171_circular_0_0","05:49:32","05:49:32","541402","37","10535.0"
"560171_circular_0_0","05:50:52","05:50:52","4785697072087040","38","10891.0"
"560171_circular_0_0","05:51:43","05:51:43","550414","39","11119.0"
"560171_circular_0_0","05:54:34","05:54:34","551434","40","11879.0"
"560171_circular_0_0","05:56:44","05:56:44","540448","41","12455.0"
"560171_circular_0_0","05:57:27","05:57:27","590002","42","12645.0"
"560171_circular_0_0","05:58:57","05:58:57","543405","43","13046.0"
"560171_circular_0_0","06:00:41","06:00:41","637105","44","13509.0"
"560171_circular_0_0","06:02:34","06:02:34","537430","45","14007.0"
"560171_circular_0_0","06:04:37","06:04:37","537431","46","14555.0"
"560171_circular_0_0","06:06:14","06:06:14","540484","47","14986.0"
"560171_circular_0_0","06:06:54","06:06:54","591155","48","15163.0"
"560171_circular_0_0","06:10:39","06:10:39","12784115","49","16164.0"
"560171_circular_0_0","06:14:57","06:14:57","6311047995064320","50","17309.0"
"560171_circular_0_0","06:19:00","06:19:00","714338","51","18390.0"
"560171_circular_0_0","06:24:20","06:24:20","588249","52","19808.0"
"560171_circular_0_0","06:26:41","06:26:41","588042","53","20434.0"
"560171_circular_0_0","06:31:01","06:31:01","568162","54","21588.0"
"560171_circular_0_0","06:34:26","06:34:26","539459","55","22500.0"
"560171_circular_0_0","06:35:34","06:35:34","552013","56","22804.0"
"560171_circular_0_0","06:36:41","06:36:41","562013","57","23101.0"
"560171_circular_0_0","06:38:32","06:38:32","557015","58","23592.0"
"560171_circular_0_0","06:40:49","06:40:49","553010","59","24201.0"
"560171_circular_0_0","06:42:11","06:42:11","10813090","60","24564.0"
"560171_circular_0_0","06:44:00","06:44:00","592001","61","25050.0"
"560171_circular_0_0","06:45:17","06:45:17","593001","62","25392.0"
"560171_circular_0_0","06:47:46","06:47:46","555015","63","26055.0"
"560171_circular_0_0","06:49:17","06:49:17","552014","64","26458.0"
"560171_circular_0_0","06:50:32","06:50:32","11035130","65","26789.0"
"560171_circular_0_0","06:52:03","06:52:03","585003","66","27195.0"
"560171_circular_0_0","06:55:52","06:55:52","587002","67","28212.0"
"560171_circular_0_0","06:57:32","06:57:32","560010","68","28624.0"
"560171_circular_0_0","06:58:37","06:58:37","586005","69","28944.0"
"560171_circular_0_0","06:59:30","06:59:30","552142","70","29181.0"
"560171_circular_0_0","07:00:28","07:00:28","564153","71","29438.0"
"560171_circular_0_0","07:00:59","07:00:59","563136","72","29576.0"
"560171_circular_0_0","07:01:39","07:01:39","639118","73","29754.0"
"560171_circular_0_0","07:02:35","07:02:35","615140","74","30000.0"
"560171_circular_0_0","07:04:40","07:04:40","6372433653137408","75","30558.0"
"560171_circular_0_0","07:05:38","07:05:38","29653008","76","30814.0"
"560171_circular_0_0","07:06:33","07:06:33","563137","77","31060.0"
"560171_circular_0_0","07:07:36","07:07:36","641069","78","31339.0"
"560171_circular_0_0","07:08:25","07:08:25","11450067","79","31554.0"
"560171_circular_0_0","07:09:39","07:09:39","613123","80","31884.0"
"560171_circular_0_0","07:10:32","07:10:32","639119","81","32110.0"
"560171_circular_0_0","07:11:30","07:11:30","557143","82","32370.0"
"560171_circular_0_0","07:12:29","07:12:29","616098","83","32638.0"
"560171_circular_0_0","07:13:30","07:13:30","613124","84","32909.0"
"560171_circular_0_0","07:14:17","07:14:17","558270","85","33119.0"
"560171_circular_0_0","07:14:46","07:14:46","560170","86","33246.0"
"560171_circular_0_0","07:16:40","07:16:40","637107","87","33753.0"
"560171_circular_0_0","07:17:14","07:17:14","591156","88","33904.0"
"560171_circular_0_0","07:17:58","07:17:58","640083","89","34101.0"
"560171_circular_0_0","07:18:53","07:18:53","563134","90","34346.0"
"560171_circular_0_0","07:19:56","07:19:56","552143","91","34591.0"
"560171_circular_0_0","07:20:32","07:20:32","613125","92","34782.0"
"560171_circular_0_0","07:20:59","07:20:59","639117","93","34906.0"
"560171_circular_0_0","07:22:43","07:22:43","639120","94","35367.0"
"560171_circular_0_0","07:23:46","07:23:46","613126","95","35644.0"
"560171_circular_0_0","07:25:13","07:25:13","637103","96","36032.0"
"560171_circular_0_0","07:26:58","07:26:58","560169","97","36498.0"
"560171_circular_0_0","07:28:30","07:28:30","591157","98","36905.0"
"560171_circular_0_0","07:28:58","07:28:58","640084","99","37031.0"
